FileName,Model,Population,N,Mixing_proportion,Lambda,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.787,0.148,0.132,0.017,0.926,0.986,500,-1.63,12.12,1
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.797,0.144,0.116,0.013,0.938,0.99,500,-0.38,24.14,2
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.789,0.14,0.12,0.014,0.926,0.988,500,-1.38,16.67,3
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.792,0.151,0.12,0.014,0.934,0.98,500,-1,25.83,4
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.799,0.146,0.117,0.014,0.934,0.974,500,-0.13,24.79,5
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.791,0.149,0.124,0.015,0.938,0.98,500,-1.13,20.16,6
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.79,0.143,0.121,0.015,0.924,0.984,500,-1.25,18.18,7
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.798,0.144,0.122,0.015,0.928,0.984,500,-0.25,18.03,8
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.789,0.146,0.128,0.017,0.92,0.988,500,-1.38,14.06,9
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.797,0.14,0.13,0.017,0.908,0.982,500,-0.38,7.69,10
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.78,0.154,0.127,0.016,0.94,0.988,500,-2.5,21.26,11
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.795,0.141,0.119,0.014,0.942,0.992,500,-0.63,18.49,12
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.793,0.147,0.126,0.016,0.918,0.974,500,-0.88,16.67,13
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.792,0.147,0.123,0.015,0.93,0.968,500,-1,19.51,14
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.795,0.145,0.119,0.014,0.938,0.982,500,-0.63,21.85,15
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.777,0.154,0.133,0.018,0.93,0.97,500,-2.88,15.79,16
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.799,0.141,0.121,0.015,0.926,0.976,500,-0.13,16.53,17
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.799,0.144,0.12,0.014,0.928,0.988,500,-0.13,20,18
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.796,0.149,0.127,0.016,0.916,0.978,500,-0.5,17.32,19
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.794,0.145,0.125,0.016,0.938,0.984,500,-0.75,16,20
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.795,0.144,0.12,0.014,0.932,0.976,500,-0.63,20,21
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.786,0.151,0.126,0.016,0.932,0.97,500,-1.75,19.84,22
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.79,0.145,0.135,0.018,0.916,0.978,500,-1.25,7.41,23
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.801,0.149,0.13,0.017,0.912,0.976,500,0.13,14.62,24
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.791,0.149,0.12,0.014,0.964,0.984,500,-1.13,24.17,25
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.793,0.141,0.121,0.015,0.932,0.982,500,-0.88,16.53,26
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.799,0.142,0.124,0.015,0.92,0.98,500,-0.13,14.52,27
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.801,0.137,0.12,0.014,0.924,0.984,500,0.13,14.17,28
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.787,0.15,0.128,0.017,0.92,0.978,500,-1.63,17.19,29
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.79,0.151,0.132,0.018,0.91,0.97,500,-1.25,14.39,30
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.788,0.148,0.132,0.017,0.918,0.988,500,-1.5,12.12,31
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.792,0.142,0.117,0.014,0.94,0.982,500,-1,21.37,32
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.779,0.149,0.134,0.018,0.914,0.974,500,-2.63,11.19,33
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.797,0.147,0.123,0.015,0.94,0.982,500,-0.38,19.51,34
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.786,0.148,0.119,0.014,0.944,0.984,500,-1.75,24.37,35
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.788,0.149,0.122,0.015,0.924,0.982,500,-1.5,22.13,36
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.785,0.152,0.123,0.015,0.95,0.972,500,-1.88,23.58,37
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.787,0.147,0.131,0.017,0.928,0.978,500,-1.63,12.21,38
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.798,0.141,0.112,0.013,0.942,0.986,500,-0.25,25.89,39
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.797,0.142,0.12,0.014,0.934,0.984,500,-0.38,18.33,40
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.787,0.15,0.131,0.017,0.942,0.974,500,-1.63,14.5,41
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.8,0.146,0.122,0.015,0.936,0.994,500,0,19.67,42
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.796,0.138,0.12,0.014,0.928,0.994,500,-0.5,15,43
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.789,0.153,0.132,0.018,0.938,0.974,500,-1.38,15.91,44
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.797,0.15,0.119,0.014,0.95,0.98,500,-0.38,26.05,45
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.795,0.143,0.128,0.016,0.92,0.978,500,-0.63,11.72,46
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.789,0.138,0.121,0.015,0.92,0.988,500,-1.38,14.05,47
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.797,0.141,0.116,0.013,0.93,0.984,500,-0.38,21.55,48
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.794,0.156,0.131,0.017,0.944,0.968,500,-0.75,19.08,49
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.79,0.136,0.12,0.015,0.926,0.98,500,-1.25,13.33,50
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.795,0.147,0.122,0.015,0.938,0.984,500,-0.63,20.49,51
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.799,0.149,0.125,0.016,0.946,0.982,500,-0.13,19.2,52
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.792,0.154,0.129,0.017,0.928,0.984,500,-1,19.38,53
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.79,0.153,0.121,0.015,0.946,0.988,500,-1.25,26.45,54
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.795,0.147,0.13,0.017,0.92,0.98,500,-0.63,13.08,55
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.788,0.153,0.126,0.016,0.946,0.974,500,-1.5,21.43,56
rilta_lta_m3_n_500_tp_3.179_m_1_l_d,Model 3,0.8,N = 500,".10, .30, .60",D,500,0.792,0.146,0.127,0.016,0.912,0.976,500,-1,14.96,57
