FileName,Model,Population,N,Mixing_proportion,Lambda,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.787,0.024,0.059,0.004,0.904,1,500,-1.63,-59.32,1
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.785,0.024,0.058,0.004,0.89,1,500,-1.88,-58.62,2
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.782,0.024,0.065,0.004,0.898,1,500,-2.25,-63.08,3
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.786,0.024,0.058,0.004,0.898,1,500,-1.75,-58.62,4
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.783,0.024,0.06,0.004,0.9,1,500,-2.13,-60,5
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.784,0.024,0.061,0.004,0.912,1,500,-2,-60.65,6
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.781,0.024,0.068,0.005,0.89,1,500,-2.38,-64.7,7
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.784,0.024,0.061,0.004,0.906,1,500,-2,-60.65,8
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.781,0.024,0.068,0.005,0.886,1,500,-2.38,-64.7,9
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.786,0.024,0.061,0.004,0.92,1,500,-1.75,-60.65,10
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.786,0.024,0.063,0.004,0.924,1,500,-1.75,-61.9,11
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.783,0.024,0.066,0.005,0.886,1,500,-2.13,-63.64,12
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.784,0.024,0.067,0.005,0.912,1,500,-2,-64.18,13
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.781,0.024,0.067,0.005,0.898,1,500,-2.38,-64.18,14
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.785,0.024,0.06,0.004,0.888,1,500,-1.88,-60,15
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.783,0.025,0.058,0.004,0.926,1,500,-2.13,-56.9,16
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.786,0.024,0.055,0.003,0.884,1,500,-1.75,-56.36,17
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.785,0.024,0.059,0.004,0.906,1,500,-1.88,-59.32,18
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.787,0.024,0.057,0.003,0.908,1,500,-1.63,-57.89,19
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.782,0.024,0.066,0.005,0.896,1,500,-2.25,-63.64,20
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.784,0.024,0.063,0.004,0.902,1,500,-2,-61.9,21
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.783,0.024,0.064,0.004,0.886,1,500,-2.13,-62.5,22
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.781,0.024,0.064,0.004,0.882,1,500,-2.38,-62.5,23
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.787,0.024,0.059,0.004,0.89,1,500,-1.63,-59.32,24
rilta_lta_m2_n_1000_tp_3.179_m_3_l_0.5,Model 2,0.8,N = 1000,".60, .30, .10",0.5,500,0.785,0.024,0.058,0.004,0.914,1,500,-1.88,-58.62,25
