FileName,Model,Population,N,Mixing_proportion,Lambda,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.795,0.045,0.069,0.005,0.906,1,500,-0.63,-34.78,1
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.791,0.045,0.078,0.006,0.892,1,500,-1.13,-42.31,2
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.793,0.046,0.07,0.005,0.892,1,500,-0.88,-34.29,3
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.8,0.045,0.062,0.004,0.902,1,500,0,-27.42,4
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.792,0.045,0.071,0.005,0.9,1,500,-1,-36.62,5
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.791,0.045,0.078,0.006,0.906,1,500,-1.13,-42.31,6
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.795,0.045,0.072,0.005,0.902,1,500,-0.63,-37.5,7
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.795,0.045,0.074,0.005,0.904,1,500,-0.63,-39.19,8
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.798,0.045,0.066,0.004,0.92,1,500,-0.25,-31.82,9
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.792,0.045,0.075,0.006,0.89,1,500,-1,-40,10
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.785,0.045,0.086,0.008,0.874,1,500,-1.88,-47.67,11
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.799,0.045,0.07,0.005,0.902,1,500,-0.13,-35.71,12
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.794,0.045,0.074,0.005,0.908,1,500,-0.75,-39.19,13
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.79,0.045,0.078,0.006,0.9,1,500,-1.25,-42.31,14
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.793,0.046,0.07,0.005,0.922,1,500,-0.88,-34.29,15
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.787,0.045,0.077,0.006,0.896,1,500,-1.63,-41.56,16
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.794,0.045,0.072,0.005,0.918,1,500,-0.75,-37.5,17
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.797,0.045,0.066,0.004,0.92,1,500,-0.38,-31.82,18
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.79,0.045,0.075,0.006,0.908,1,500,-1.25,-40,19
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.791,0.045,0.077,0.006,0.888,1,500,-1.13,-41.56,20
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.792,0.045,0.075,0.006,0.92,1,500,-1,-40,21
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.788,0.046,0.081,0.007,0.884,1,500,-1.5,-43.21,22
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.798,0.045,0.07,0.005,0.9,1,500,-0.25,-35.71,23
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.793,0.045,0.071,0.005,0.914,1,500,-0.88,-36.62,24
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.794,0.045,0.07,0.005,0.918,1,500,-0.75,-35.71,25
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.792,0.045,0.077,0.006,0.898,1,500,-1,-41.56,26
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.792,0.045,0.073,0.005,0.906,1,500,-1,-38.36,27
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.794,0.045,0.07,0.005,0.914,1,500,-0.75,-35.71,28
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.794,0.045,0.071,0.005,0.926,1,500,-0.75,-36.62,29
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.794,0.045,0.072,0.005,0.908,1,500,-0.75,-37.5,30
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.791,0.045,0.077,0.006,0.906,1,500,-1.13,-41.56,31
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.798,0.045,0.069,0.005,0.938,1,500,-0.25,-34.78,32
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.788,0.046,0.074,0.006,0.898,1,500,-1.5,-37.84,33
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.797,0.045,0.07,0.005,0.9,1,500,-0.38,-35.71,34
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.791,0.045,0.077,0.006,0.888,1,500,-1.13,-41.56,35
rilta_lta_m2_n_500_tp_3.179_m_2_l_0.5,Model 2,0.8,N = 500,".33, .33, .33",0.5,500,0.788,0.046,0.072,0.005,0.916,1,500,-1.5,-36.11,36
