FileName,Model,Population,N,Mixing_proportion,Lambda,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.195,0.141,0.132,0.017,0.896,0.331,500,-2.5,6.82,1
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.193,0.137,0.132,0.017,0.89,0.318,500,-3.5,3.79,2
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.191,0.147,0.136,0.019,0.882,0.289,500,-4.5,8.09,3
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.187,0.144,0.124,0.016,0.902,0.269,500,-6.5,16.13,4
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.194,0.143,0.129,0.017,0.892,0.299,500,-3,10.85,5
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.196,0.138,0.135,0.018,0.878,0.324,500,-2,2.22,6
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.194,0.139,0.123,0.015,0.888,0.306,500,-3,13.01,7
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.198,0.145,0.132,0.017,0.896,0.316,500,-1,9.85,8
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.204,0.149,0.137,0.019,0.912,0.316,500,2,8.76,9
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.197,0.147,0.135,0.018,0.892,0.272,500,-1.5,8.89,10
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.193,0.141,0.131,0.017,0.884,0.308,500,-3.5,7.63,11
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.183,0.142,0.126,0.016,0.894,0.279,500,-8.5,12.7,12
rilta_lta_m1_n_1000_tp_0.407_m_1_l_a,Model 1,0.2,N = 1000,".10, .30, .60",A,500,0.202,0.149,0.132,0.018,0.912,0.297,500,1,12.88,13
