FileName,Model,Population,N,Mixing_proportion,Lambda,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.78,0.012,0.073,0.006,0.896,1,500,-2.5,-83.56,1
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.787,0.012,0.058,0.004,0.908,1,500,-1.63,-79.31,2
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.065,0.004,0.888,1,500,-2,-81.54,3
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.783,0.012,0.066,0.005,0.902,1,500,-2.13,-81.82,4
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.065,0.004,0.886,1,500,-2,-81.54,5
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.783,0.012,0.065,0.005,0.906,1,500,-2.13,-81.54,6
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.064,0.004,0.896,1,500,-2,-81.25,7
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.783,0.012,0.064,0.004,0.91,1,500,-2.13,-81.25,8
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.782,0.012,0.069,0.005,0.892,1,500,-2.25,-82.61,9
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.063,0.004,0.888,1,500,-2,-80.95,10
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.78,0.012,0.071,0.006,0.874,1,500,-2.5,-83.1,11
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.777,0.012,0.078,0.007,0.87,1,500,-2.88,-84.61,12
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.782,0.012,0.068,0.005,0.898,1,500,-2.25,-82.35,13
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.783,0.012,0.068,0.005,0.898,1,500,-2.13,-82.35,14
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.78,0.012,0.072,0.006,0.876,1,500,-2.5,-83.33,15
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.064,0.004,0.894,1,500,-2,-81.25,16
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.785,0.012,0.063,0.004,0.9,1,500,-1.88,-80.95,17
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.785,0.012,0.061,0.004,0.918,1,500,-1.88,-80.33,18
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.78,0.012,0.071,0.005,0.882,1,500,-2.5,-83.1,19
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.781,0.012,0.07,0.005,0.89,1,500,-2.38,-82.86,20
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.064,0.004,0.888,1,500,-2,-81.25,21
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.065,0.005,0.878,1,500,-2,-81.54,22
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.78,0.012,0.072,0.006,0.88,1,500,-2.5,-83.33,23
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.783,0.012,0.066,0.005,0.888,1,500,-2.13,-81.82,24
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.778,0.012,0.075,0.006,0.866,1,500,-2.75,-84,25
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.065,0.004,0.904,1,500,-2,-81.54,26
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.782,0.012,0.068,0.005,0.882,1,500,-2.25,-82.35,27
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.78,0.012,0.073,0.006,0.87,1,500,-2.5,-83.56,28
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.779,0.012,0.073,0.006,0.864,1,500,-2.63,-83.56,29
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.778,0.012,0.075,0.006,0.888,1,500,-2.75,-84,30
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.783,0.012,0.066,0.005,0.874,1,500,-2.13,-81.82,31
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.783,0.012,0.064,0.004,0.892,1,500,-2.13,-81.25,32
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.788,0.012,0.055,0.003,0.888,1,500,-1.5,-78.18,33
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.781,0.012,0.069,0.005,0.87,1,500,-2.38,-82.61,34
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.064,0.004,0.886,1,500,-2,-81.25,35
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.785,0.012,0.063,0.004,0.862,1,500,-1.88,-80.95,36
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.065,0.005,0.894,1,500,-2,-81.54,37
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.779,0.012,0.071,0.005,0.876,1,500,-2.63,-83.1,38
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.782,0.012,0.069,0.005,0.876,1,500,-2.25,-82.61,39
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.787,0.012,0.058,0.003,0.884,1,500,-1.63,-79.31,40
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.065,0.004,0.892,1,500,-2,-81.54,41
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.788,0.012,0.057,0.003,0.876,1,500,-1.5,-78.95,42
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.785,0.012,0.063,0.004,0.892,1,500,-1.88,-80.95,43
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.784,0.012,0.065,0.004,0.898,1,500,-2,-81.54,44
rilta_lta_m2_n_5000_tp_3.179_m_3_l_0.9,Model 2,0.8,N = 5000,".60, .30, .10",0.9,500,0.777,0.012,0.077,0.006,0.856,1,500,-2.88,-84.41,45
