FileName,Model,Population,N,Mixing_proportion,Lambda,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.246,0.041,0.039,0.004,0.79,1,500,23,5.13,1
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.245,0.04,0.036,0.003,0.79,1,500,22.5,11.11,2
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.246,0.041,0.037,0.003,0.798,1,500,23,10.81,3
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.244,0.04,0.036,0.003,0.804,1,500,22,11.11,4
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.242,0.041,0.037,0.003,0.832,1,500,21,10.81,5
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.245,0.041,0.037,0.003,0.786,1,500,22.5,10.81,6
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.247,0.042,0.038,0.004,0.776,1,500,23.5,10.53,7
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.247,0.041,0.039,0.004,0.788,1,500,23.5,5.13,8
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.245,0.041,0.035,0.003,0.804,1,500,22.5,17.14,9
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.242,0.04,0.035,0.003,0.828,1,500,21,14.29,10
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.244,0.041,0.038,0.003,0.806,1,500,22,7.89,11
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.246,0.041,0.037,0.003,0.794,1,500,23,10.81,12
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.245,0.041,0.034,0.003,0.812,1,500,22.5,20.59,13
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.245,0.041,0.037,0.003,0.82,1,500,22.5,10.81,14
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.245,0.041,0.038,0.003,0.778,1,500,22.5,7.89,15
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.245,0.042,0.036,0.003,0.826,1,500,22.5,16.67,16
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.245,0.041,0.037,0.003,0.806,1,500,22.5,10.81,17
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.244,0.041,0.036,0.003,0.806,1,500,22,13.89,18
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.247,0.041,0.037,0.004,0.8,1,500,23.5,10.81,19
rilta_lta_m3_n_1000_tp_0.407_m_3_l_0.5,Model 3,0.2,N = 1000,".60, .30, .10",0.5,500,0.246,0.041,0.037,0.003,0.79,1,500,23,10.81,20
