FileName,Model,Population,N,Mixing_proportion,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.184,0.156,0.162,0.027,0.698,0.354,500,-8,-3.7,1
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.185,0.165,0.157,0.025,0.704,0.349,500,-7.5,5.1,2
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.172,0.153,0.162,0.027,0.658,0.345,500,-14,-5.56,3
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.178,0.155,0.162,0.027,0.668,0.345,500,-11,-4.32,4
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.19,0.157,0.163,0.027,0.688,0.356,500,-5,-3.68,5
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.177,0.159,0.158,0.026,0.718,0.297,500,-11.5,0.63,6
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.174,0.16,0.158,0.025,0.688,0.324,500,-13,1.27,7
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.187,0.164,0.16,0.026,0.708,0.336,500,-6.5,2.5,8
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.181,0.153,0.163,0.027,0.664,0.337,500,-9.5,-6.13,9
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.173,0.146,0.159,0.026,0.646,0.325,500,-13.5,-8.18,10
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.174,0.161,0.159,0.026,0.708,0.293,500,-13,1.26,11
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.182,0.157,0.164,0.027,0.694,0.325,500,-9,-4.27,12
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.178,0.159,0.161,0.026,0.67,0.312,500,-11,-1.24,13
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.188,0.171,0.165,0.027,0.74,0.339,500,-6,3.64,14
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.177,0.166,0.161,0.026,0.696,0.307,500,-11.5,3.11,15
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.183,0.151,0.167,0.028,0.66,0.378,500,-8.5,-9.58,16
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.18,0.161,0.161,0.026,0.704,0.332,500,-10,0,17
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.176,0.152,0.158,0.026,0.684,0.371,500,-12,-3.8,18
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.174,0.15,0.163,0.027,0.654,0.34,500,-13,-7.98,19
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.175,0.152,0.163,0.027,0.664,0.351,500,-12.5,-6.75,20
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.185,0.159,0.167,0.028,0.69,0.35,500,-7.5,-4.79,21
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.181,0.171,0.165,0.028,0.686,0.314,500,-9.5,3.64,22
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.174,0.151,0.164,0.027,0.654,0.322,500,-13,-7.93,23
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.187,0.176,0.163,0.027,0.704,0.333,500,-6.5,7.98,24
lta_rilta_m1_n_500_tp_0.407_m_1,Model 1,0.2,N = 500,".10, .30, .60",500,0.188,0.169,0.16,0.026,0.692,0.358,500,-6,5.62,25
