FileName,Model,Population,N,Mixing_proportion,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.794,0.035,0.05,0.002,0.908,1,500,-0.75,-30,1
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.036,0.047,0.002,0.93,1,500,-0.63,-23.4,2
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.034,0.045,0.002,0.926,1,500,-0.5,-24.44,3
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.034,0.039,0.002,0.94,1,500,-0.38,-12.82,4
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.033,0.043,0.002,0.918,1,500,-0.5,-23.26,5
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.037,0.038,0.001,0.944,1,500,-0.25,-2.63,6
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.792,0.034,0.055,0.003,0.928,1,500,-1,-38.18,7
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.036,0.04,0.002,0.93,1,500,-0.5,-10,8
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.034,0.046,0.002,0.926,1,500,-0.25,-26.09,9
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.036,0.051,0.003,0.892,1,500,-0.63,-29.41,10
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.035,0.047,0.002,0.932,1,500,-0.38,-25.53,11
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.035,0.042,0.002,0.938,1,500,-0.38,-16.67,12
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.036,0.05,0.002,0.92,1,500,-0.63,-28,13
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.035,0.047,0.002,0.916,1,500,-0.63,-25.53,14
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.034,0.039,0.002,0.936,1,500,-0.25,-12.82,15
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.036,0.043,0.002,0.922,1,500,-0.5,-16.28,16
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.034,0.051,0.003,0.92,1,500,-0.63,-33.33,17
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.033,0.039,0.002,0.948,1,500,-0.5,-15.38,18
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.034,0.041,0.002,0.922,1,500,-0.38,-17.07,19
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.792,0.036,0.048,0.002,0.936,1,500,-1,-25,20
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.794,0.035,0.049,0.002,0.93,1,500,-0.75,-28.57,21
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.794,0.033,0.053,0.003,0.924,1,500,-0.75,-37.74,22
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.036,0.045,0.002,0.92,1,500,-0.5,-20,23
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.035,0.042,0.002,0.938,1,500,-0.38,-16.67,24
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.799,0.034,0.039,0.001,0.942,1,500,-0.13,-12.82,25
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.034,0.048,0.002,0.918,1,500,-0.63,-29.17,26
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.036,0.038,0.001,0.942,1,500,-0.5,-5.26,27
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.035,0.041,0.002,0.944,1,500,-0.38,-14.63,28
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.036,0.039,0.002,0.928,1,500,-0.38,-7.69,29
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.035,0.046,0.002,0.942,1,500,-0.63,-23.91,30
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.799,0.034,0.04,0.002,0.922,1,500,-0.13,-15,31
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.034,0.042,0.002,0.92,1,500,-0.63,-19.05,32
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.801,0.034,0.036,0.001,0.934,1,500,0.13,-5.56,33
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.794,0.035,0.043,0.002,0.926,1,500,-0.75,-18.6,34
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.035,0.047,0.002,0.918,1,500,-0.38,-25.53,35
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.035,0.043,0.002,0.928,1,500,-0.25,-18.6,36
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.035,0.039,0.002,0.932,1,500,-0.25,-10.26,37
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.036,0.047,0.002,0.936,1,500,-0.38,-23.4,38
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.034,0.04,0.002,0.932,1,500,-0.38,-15,39
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.79,0.036,0.054,0.003,0.926,1,500,-1.25,-33.33,40
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.801,0.035,0.038,0.001,0.936,1,500,0.13,-7.89,41
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.033,0.045,0.002,0.916,1,500,-0.25,-26.67,42
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.035,0.042,0.002,0.924,1,500,-0.38,-16.67,43
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.036,0.042,0.002,0.936,1,500,-0.63,-14.29,44
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.035,0.035,0.001,0.938,1,500,-0.25,0,45
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.034,0.042,0.002,0.924,1,500,-0.38,-19.05,46
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.035,0.046,0.002,0.942,1,500,-0.63,-23.91,47
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.033,0.051,0.003,0.934,1,500,-0.5,-35.29,48
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.035,0.045,0.002,0.922,1,500,-0.63,-22.22,49
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.034,0.049,0.002,0.93,1,500,-0.63,-30.61,50
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.037,0.042,0.002,0.93,1,500,-0.38,-11.9,51
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.035,0.043,0.002,0.918,1,500,-0.5,-18.6,52
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.036,0.049,0.002,0.934,1,500,-0.5,-26.53,53
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.036,0.043,0.002,0.92,1,500,-0.38,-16.28,54
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.79,0.034,0.057,0.003,0.918,1,500,-1.25,-40.35,55
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.036,0.043,0.002,0.926,1,500,-0.63,-16.28,56
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.035,0.049,0.002,0.932,1,500,-0.38,-28.57,57
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.034,0.045,0.002,0.926,1,500,-0.63,-24.44,58
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.037,0.044,0.002,0.94,1,500,-0.5,-15.91,59
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.034,0.039,0.002,0.942,1,500,-0.25,-12.82,60
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.8,0.035,0.038,0.001,0.958,1,500,0,-7.89,61
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.035,0.049,0.002,0.932,1,500,-0.63,-28.57,62
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.037,0.042,0.002,0.938,1,500,-0.38,-11.9,63
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.796,0.034,0.05,0.002,0.922,1,500,-0.5,-32,64
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.799,0.034,0.042,0.002,0.93,1,500,-0.13,-19.05,65
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.034,0.037,0.001,0.95,1,500,-0.38,-8.11,66
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.799,0.035,0.042,0.002,0.926,1,500,-0.13,-16.67,67
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.795,0.034,0.046,0.002,0.932,1,500,-0.63,-26.09,68
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.794,0.035,0.045,0.002,0.922,1,500,-0.75,-22.22,69
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.036,0.039,0.002,0.942,1,500,-0.38,-7.69,70
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.799,0.033,0.037,0.001,0.924,1,500,-0.13,-10.81,71
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.033,0.045,0.002,0.936,1,500,-0.38,-26.67,72
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.799,0.034,0.041,0.002,0.938,1,500,-0.13,-17.07,73
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.793,0.036,0.056,0.003,0.916,1,500,-0.88,-35.71,74
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.034,0.04,0.002,0.944,1,500,-0.25,-15,75
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.794,0.036,0.048,0.002,0.938,1,500,-0.75,-25,76
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.035,0.038,0.001,0.948,1,500,-0.38,-7.89,77
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.799,0.034,0.04,0.002,0.934,1,500,-0.13,-15,78
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.034,0.043,0.002,0.92,1,500,-0.38,-20.93,79
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.034,0.041,0.002,0.918,1,500,-0.25,-17.07,80
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.035,0.043,0.002,0.938,1,500,-0.25,-18.6,81
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.036,0.048,0.002,0.92,1,500,-0.38,-25,82
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.035,0.041,0.002,0.94,1,500,-0.25,-14.63,83
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.798,0.034,0.043,0.002,0.93,1,500,-0.25,-20.93,84
lta_rilta_m2_n_500_tp_3.179_m_3,Model 2,0.8,N = 500,".60, .30, .10",500,0.797,0.035,0.042,0.002,0.938,1,500,-0.38,-16.67,85
