FileName,Model,Population,N,Mixing_proportion,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.153,0.095,0.099,0.012,0.788,0.362,500,-23.5,-4.04,1
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.151,0.098,0.098,0.012,0.77,0.342,500,-24.5,0,2
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.154,0.098,0.098,0.012,0.79,0.363,500,-23,0,3
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.147,0.093,0.095,0.012,0.776,0.321,500,-26.5,-2.11,4
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.142,0.094,0.096,0.013,0.772,0.314,500,-29,-2.08,5
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.159,0.101,0.097,0.011,0.808,0.371,500,-20.5,4.12,6
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.15,0.103,0.096,0.012,0.796,0.336,500,-25,7.29,7
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.15,0.097,0.094,0.011,0.798,0.328,500,-25,3.19,8
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.146,0.096,0.096,0.012,0.786,0.322,500,-27,0,9
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.156,0.104,0.1,0.012,0.802,0.338,500,-22,4,10
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.144,0.102,0.094,0.012,0.792,0.313,500,-28,8.51,11
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.151,0.103,0.094,0.011,0.806,0.33,500,-24.5,9.57,12
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.15,0.095,0.1,0.013,0.764,0.359,500,-25,-5,13
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.154,0.101,0.093,0.011,0.814,0.361,500,-23,8.6,14
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.149,0.103,0.092,0.011,0.814,0.312,500,-25.5,11.96,15
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.154,0.102,0.098,0.012,0.798,0.356,500,-23,4.08,16
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.157,0.102,0.099,0.012,0.804,0.357,500,-21.5,3.03,17
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.15,0.098,0.097,0.012,0.802,0.354,500,-25,1.03,18
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.143,0.098,0.095,0.012,0.782,0.3,500,-28.5,3.16,19
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.15,0.099,0.095,0.011,0.81,0.336,500,-25,4.21,20
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.153,0.101,0.092,0.011,0.834,0.334,500,-23.5,9.78,21
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.151,0.097,0.096,0.012,0.794,0.346,500,-24.5,1.04,22
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.151,0.098,0.095,0.011,0.784,0.359,500,-24.5,3.16,23
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.155,0.101,0.097,0.011,0.796,0.349,500,-22.5,4.12,24
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.151,0.099,0.095,0.011,0.804,0.347,500,-24.5,4.21,25
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.146,0.1,0.092,0.011,0.798,0.289,500,-27,8.7,26
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.15,0.097,0.096,0.012,0.79,0.324,500,-25,1.04,27
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.152,0.101,0.095,0.011,0.806,0.331,500,-24,6.32,28
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.151,0.099,0.098,0.012,0.784,0.336,500,-24.5,1.02,29
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.153,0.101,0.097,0.012,0.814,0.341,500,-23.5,4.12,30
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.145,0.102,0.093,0.012,0.792,0.294,500,-27.5,9.68,31
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.151,0.099,0.096,0.012,0.8,0.325,500,-24.5,3.12,32
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.152,0.097,0.101,0.012,0.758,0.356,500,-24,-3.96,33
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.147,0.104,0.094,0.012,0.792,0.322,500,-26.5,10.64,34
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.148,0.102,0.095,0.012,0.806,0.335,500,-26,7.37,35
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.154,0.097,0.095,0.011,0.81,0.373,500,-23,2.11,36
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.153,0.1,0.096,0.011,0.796,0.34,500,-23.5,4.17,37
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.151,0.101,0.095,0.011,0.808,0.361,500,-24.5,6.32,38
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.149,0.099,0.095,0.012,0.794,0.332,500,-25.5,4.21,39
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.148,0.104,0.092,0.011,0.8,0.326,500,-26,13.04,40
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.145,0.095,0.094,0.012,0.81,0.319,500,-27.5,1.06,41
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.148,0.1,0.1,0.013,0.766,0.345,500,-26,0,42
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.146,0.095,0.096,0.012,0.77,0.317,500,-27,-1.04,43
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.15,0.1,0.099,0.012,0.766,0.341,500,-25,1.01,44
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.147,0.101,0.096,0.012,0.788,0.31,500,-26.5,5.21,45
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.149,0.1,0.097,0.012,0.802,0.336,500,-25.5,3.09,46
lta_rilta_m1_n_500_tp_0.407_m_2,Model 1,0.2,N = 500,".33, .33, .33",500,0.153,0.102,0.097,0.012,0.8,0.346,500,-23.5,5.15,47
