"FileName","Population","N","N_numeric","TPs","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"lta_rilta_n_500_tp_-1.385_th_1",".200","N = 500","500",-1.385,889,266,29.9,1,0.1,1,0.1,267,30,622,"No",903
"lta_rilta_n_500_tp_-0.85_th_1",".300","N = 500","500",-0.85,886,269,30.4,1,0.1,0,0,270,30.5,616,"No",910
"lta_rilta_n_500_tp_-0.41_th_1",".400","N = 500","500",-0.41,837,220,26.3,2,0.2,0,0,221,26.4,616,"No",854
"lta_rilta_n_500_tp_0.41_th_1",".600","N = 500","500",0.41,859,233,27.1,4,0.5,0,0,236,27.5,623,"No",869
"lta_rilta_n_500_tp_0.85_th_1",".700","N = 500","500",0.85,844,212,25.1,3,0.4,0,0,215,25.5,629,"No",843
"lta_rilta_n_500_tp_1.385_th_1",".800","N = 500","500",1.385,772,178,23.1,2,0.3,0,0,178,23.1,594,"No",814
"lta_rilta_n_1000_tp_-1.385_th_1",".200","N = 1000","1000",-1.385,857,232,27.1,0,0,4,0.5,236,27.5,621,"No",869
"lta_rilta_n_1000_tp_-0.85_th_1",".300","N = 1000","1000",-0.85,870,241,27.7,0,0,1,0.1,242,27.8,628,"No",872
"lta_rilta_n_1000_tp_-0.41_th_1",".400","N = 1000","1000",-0.41,829,220,26.5,0,0,2,0.2,222,26.8,607,"No",859
"lta_rilta_n_1000_tp_0.41_th_1",".600","N = 1000","1000",0.41,832,207,24.9,0,0,2,0.2,209,25.1,623,"No",838
"lta_rilta_n_1000_tp_0.85_th_1",".700","N = 1000","1000",0.85,804,204,25.4,0,0,2,0.2,204,25.4,600,"No",842
"lta_rilta_n_1000_tp_1.385_th_1",".800","N = 1000","1000",1.385,762,171,22.4,0,0,2,0.3,173,22.7,589,"No",810
"lta_rilta_n_2000_tp_-1.385_th_1",".200","N = 2000","2000",-1.385,883,256,29,0,0,2,0.2,257,29.1,626,"No",890
"lta_rilta_n_2000_tp_-0.85_th_1",".300","N = 2000","2000",-0.85,909,274,30.1,0,0,0,0,274,30.1,635,"No",904
"lta_rilta_n_2000_tp_-0.41_th_1",".400","N = 2000","2000",-0.41,881,249,28.3,0,0,1,0.1,250,28.4,631,"No",881
"lta_rilta_n_2000_tp_0.41_th_1",".600","N = 2000","2000",0.41,842,197,23.4,0,0,1,0.1,198,23.5,644,"No",819
"lta_rilta_n_2000_tp_0.85_th_1",".700","N = 2000","2000",0.85,793,164,20.7,0,0,0,0,164,20.7,629,"No",788
"lta_rilta_n_2000_tp_1.385_th_1",".800","N = 2000","2000",1.385,782,140,17.9,0,0,0,0,140,17.9,642,"No",759
"lta_rilta_n_4000_tp_-1.385_th_1",".200","N = 4000","4000",-1.385,921,243,26.4,0,0,1,0.1,244,26.5,677,"No",855
"lta_rilta_n_4000_tp_-0.85_th_1",".300","N = 4000","4000",-0.85,867,266,30.7,0,0,5,0.6,271,31.3,596,"No",922
"lta_rilta_n_4000_tp_-0.41_th_1",".400","N = 4000","4000",-0.41,857,274,32,0,0,2,0.2,275,32.1,582,"No",934
"lta_rilta_n_4000_tp_0.41_th_1",".600","N = 4000","4000",0.41,832,213,25.6,0,0,7,0.8,218,26.2,614,"No",852
"lta_rilta_n_4000_tp_0.85_th_1",".700","N = 4000","4000",0.85,820,198,24.1,0,0,2,0.2,198,24.1,622,"No",826
"lta_rilta_n_4000_tp_1.385_th_1",".800","N = 4000","4000",1.385,780,152,19.5,0,0,0,0,152,19.5,628,"No",775
