"FileName","Population","TPs","Lambda","N","N_numeric","Total_Rows","Total_Violations","Total_True_Violations","True_Violation_Perc","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_500_tp_0.41_th_1_lambda_1",".600",0.41,1,"N = 500","500",500,166,166,33.2,33.2,0,0,1,0.2,334,"Yes",952
"rilta_lta_n_500_tp_0.85_th_1_lambda_1",".700",0.85,1,"N = 500","500",500,134,134,26.8,26.8,0,0,0,0,366,"Yes",859
"rilta_lta_n_500_tp_1.385_th_1_lambda_1",".800",1.385,1,"N = 500","500",500,126,126,25.2,25.2,0,0,0,0,374,"Yes",839
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0",".400",-0.41,0,"N = 1000","1000",500,171,171,34.2,34.2,0,0,0,0,329,"Yes",968
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0",".300",-0.85,0,"N = 1000","1000",500,160,160,32,32,0,0,0,0,340,"Yes",933
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0",".200",-1.385,0,"N = 1000","1000",500,142,142,28.4,28.4,0,0,0,0,358,"Yes",881
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0",".600",0.41,0,"N = 1000","1000",500,166,166,33.2,33.2,0,0,0,0,334,"Yes",952
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0",".700",0.85,0,"N = 1000","1000",500,145,145,29,29,0,0,0,0,355,"Yes",889
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0",".800",1.385,0,"N = 1000","1000",500,150,150,30,30,0,0,0,0,350,"Yes",903
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.2",".400",-0.41,0.2,"N = 1000","1000",500,148,148,29.6,29.6,0,0,0,0,352,"Yes",897
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.2",".300",-0.85,0.2,"N = 1000","1000",500,165,165,33,33,0,0,0,0,335,"Yes",948
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.2",".200",-1.385,0.2,"N = 1000","1000",500,142,142,28.4,28.4,0,0,0,0,358,"Yes",881
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.2",".600",0.41,0.2,"N = 1000","1000",500,146,146,29.2,29.2,0,0,0,0,354,"Yes",892
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.2",".700",0.85,0.2,"N = 1000","1000",500,144,144,28.8,28.8,0,0,0,0,356,"Yes",886
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.2",".800",1.385,0.2,"N = 1000","1000",500,126,126,25.2,25.2,0,0,0,0,374,"Yes",839
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.4",".400",-0.41,0.4,"N = 1000","1000",500,148,148,29.6,29.6,0,0,0,0,352,"Yes",897
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.4",".300",-0.85,0.4,"N = 1000","1000",500,179,179,35.8,35.8,0,0,0,0,321,"Yes",995
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.4",".200",-1.385,0.4,"N = 1000","1000",500,170,170,34,34,0,0,0,0,330,"Yes",965
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.4",".600",0.41,0.4,"N = 1000","1000",500,132,132,26.4,26.4,0,0,0,0,368,"Yes",854
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.4",".700",0.85,0.4,"N = 1000","1000",500,131,131,26.2,26.2,0,0,0,0,369,"Yes",852
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.4",".800",1.385,0.4,"N = 1000","1000",500,123,123,24.6,24.6,0,0,0,0,377,"Yes",832
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.6",".400",-0.41,0.6,"N = 1000","1000",500,169,169,33.8,33.8,0,0,0,0,331,"Yes",961
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.6",".300",-0.85,0.6,"N = 1000","1000",500,194,194,38.8,38.8,0,0,0,0,306,"Yes",1052
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.6",".200",-1.385,0.6,"N = 1000","1000",500,181,181,36.2,36.2,0,0,0,0,319,"Yes",1002
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.6",".600",0.41,0.6,"N = 1000","1000",500,148,148,29.6,29.6,0,0,0,0,352,"Yes",897
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.6",".700",0.85,0.6,"N = 1000","1000",500,121,121,24.2,24.2,0,0,0,0,379,"Yes",827
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.6",".800",1.385,0.6,"N = 1000","1000",500,97,97,19.4,19.4,0,0,0,0,403,"Yes",774
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.8",".400",-0.41,0.8,"N = 1000","1000",500,168,168,33.6,33.6,0,0,0,0,332,"Yes",958
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.8",".300",-0.85,0.8,"N = 1000","1000",500,169,169,33.8,33.8,0,0,0,0,331,"Yes",961
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.8",".200",-1.385,0.8,"N = 1000","1000",500,178,178,35.6,35.6,0,0,0,0,322,"Yes",992
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.8",".600",0.41,0.8,"N = 1000","1000",500,152,152,30.4,30.4,0,0,0,0,348,"Yes",909
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.8",".700",0.85,0.8,"N = 1000","1000",500,124,124,24.8,24.8,0,0,0,0,376,"Yes",834
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.8",".800",1.385,0.8,"N = 1000","1000",500,110,110,22,22,0,0,0,0,390,"Yes",802
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_1",".400",-0.41,1,"N = 1000","1000",500,174,174,34.8,34.8,0,0,0,0,326,"Yes",978
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_1",".300",-0.85,1,"N = 1000","1000",500,190,190,38,38,0,0,0,0,310,"Yes",1036
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_1",".200",-1.385,1,"N = 1000","1000",500,190,190,38,38,0,0,0,0,310,"Yes",1036
"rilta_lta_n_1000_tp_0.41_th_1_lambda_1",".600",0.41,1,"N = 1000","1000",500,135,135,27,27,0,0,0,0,365,"Yes",862
"rilta_lta_n_1000_tp_0.85_th_1_lambda_1",".700",0.85,1,"N = 1000","1000",500,128,128,25.6,25.6,0,0,0,0,372,"Yes",844
"rilta_lta_n_1000_tp_1.385_th_1_lambda_1",".800",1.385,1,"N = 1000","1000",500,119,119,23.8,23.8,0,0,0,0,381,"Yes",822
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0",".400",-0.41,0,"N = 2000","2000",500,133,133,26.6,26.6,0,0,0,0,367,"Yes",857
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0",".300",-0.85,0,"N = 2000","2000",500,151,151,30.2,30.2,0,0,0,0,349,"Yes",906
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0",".200",-1.385,0,"N = 2000","2000",500,115,115,23,23,0,0,0,0,385,"Yes",813
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0",".600",0.41,0,"N = 2000","2000",500,126,126,25.2,25.2,0,0,0,0,374,"Yes",839
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0",".700",0.85,0,"N = 2000","2000",500,137,137,27.4,27.4,0,0,0,0,363,"Yes",867
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0",".800",1.385,0,"N = 2000","2000",500,146,146,29.2,29.2,0,0,0,0,354,"Yes",892
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.2",".400",-0.41,0.2,"N = 2000","2000",500,135,135,27,27,0,0,0,0,365,"Yes",862
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.2",".300",-0.85,0.2,"N = 2000","2000",500,126,126,25.2,25.2,0,0,0,0,374,"Yes",839
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.2",".200",-1.385,0.2,"N = 2000","2000",500,144,144,28.8,28.8,0,0,0,0,356,"Yes",886
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.2",".600",0.41,0.2,"N = 2000","2000",500,139,139,27.8,27.8,0,0,0,0,361,"Yes",872
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.2",".700",0.85,0.2,"N = 2000","2000",500,135,135,27,27,0,0,0,0,365,"Yes",862
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.2",".800",1.385,0.2,"N = 2000","2000",500,136,136,27.2,27.2,0,0,0,0,364,"Yes",865
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.4",".400",-0.41,0.4,"N = 2000","2000",500,155,155,31,31,0,0,0,0,345,"Yes",918
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.4",".300",-0.85,0.4,"N = 2000","2000",500,160,160,32,32,0,0,0,0,340,"Yes",933
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.4",".200",-1.385,0.4,"N = 2000","2000",500,173,173,34.6,34.6,0,0,0,0,327,"Yes",975
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.4",".600",0.41,0.4,"N = 2000","2000",500,146,146,29.2,29.2,0,0,0,0,354,"Yes",892
