"N_numeric","Population","Lambda","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
500,".200",0,500,26.4,0,0,26.4,29,0,0,29,854,606,"✅ Fixed"
500,".200",0.2,500,27,0,0,27,28.2,0,0,28.2,862,619,"✅ Fixed"
500,".200",0.4,500,30.4,0,0,30.4,29.9,0,0,29.9,909,637,"✅ Fixed"
500,".200",0.6,500,34.6,0,0,34.6,33.3,0,0,33.3,975,650,"✅ Fixed"
500,".200",0.8,500,33.8,0,0,33.8,33.2,0,0,33.2,961,642,"✅ Fixed"
500,".200",1,500,34.4,0,0,34.4,34.5,0,0,34.5,971,636,"✅ Fixed"
500,".300",0,500,30.4,0,0,30.4,30.3,0,0,30.3,909,634,"✅ Fixed"
500,".300",0.2,500,33,0,0,33,31.6,0,0,31.6,948,648,"✅ Fixed"
500,".300",0.4,500,31.4,0,0,31.4,29.5,0,0,29.5,924,651,"✅ Fixed"
500,".300",0.6,500,33,0,0,33,33.8,0,0,33.8,948,628,"✅ Fixed"
500,".300",0.8,500,34.8,0,0,34.8,33.6,0,0,33.6,978,649,"✅ Fixed"
500,".300",1,500,34.4,0,0,34.4,35,0,0,35,971,631,"✅ Fixed"
500,".400",0,500,32.6,0,0,32.6,33.9,0,0,33.9,942,623,"✅ Fixed"
500,".400",0.2,500,32,0,0,32,32.9,0,0,32.9,933,626,"✅ Fixed"
500,".400",0.4,500,29.2,0,0,29.2,31.1,0,0,31.1,892,615,"✅ Fixed"
500,".400",0.6,500,30.6,0,0,30.6,32.7,0,0,32.7,912,614,"✅ Fixed"
500,".400",0.8,500,28.2,0,0,28.2,31.1,0,0,31.1,878,605,"✅ Fixed"
500,".400",1,500,36.4,0,0,36.4,34.2,0,0,34.2,1006,662,"✅ Fixed"
500,".600",0,500,27.6,0,0,27.6,29.5,0,0,29.5,870,613,"✅ Fixed"
500,".600",0.2,500,32,0,0,32,30.8,0,0,30.8,933,646,"✅ Fixed"
500,".600",0.4,500,33.6,0.2,0,33.8,31.7,0.1,0,31.8,961,655,"✅ Fixed"
500,".600",0.6,500,31.6,0,0,31.6,30.6,0,0,30.6,927,643,"✅ Fixed"
500,".600",0.8,500,29.2,0,0,29.2,31.5,0,0,31.5,892,611,"✅ Fixed"
500,".600",1,500,33.2,0.2,0,33.2,33,0.1,0,33,952,638,"✅ Fixed"
500,".700",0,500,29.4,0,0,29.4,28.1,0,0,28.1,894,643,"✅ Fixed"
500,".700",0.2,500,28.8,0,0,28.8,29,0,0,29,886,629,"✅ Fixed"
500,".700",0.4,500,31.2,0,0,31.2,30.6,0,0,30.6,921,639,"✅ Fixed"
500,".700",0.6,500,28.6,0,0,28.6,27.1,0,0,27.1,883,644,"✅ Fixed"
500,".700",0.8,500,29.8,0,0,29.8,31.3,0,0,31.3,900,618,"✅ Fixed"
500,".700",1,500,26.8,0,0,26.8,28.9,0,0,28.9,859,611,"✅ Fixed"
500,".800",0,500,28.8,0,0,28.8,27.2,0,0,27.2,886,645,"✅ Fixed"
500,".800",0.2,500,26.4,0,0,26.4,27.3,0,0,27.3,854,621,"✅ Fixed"
500,".800",0.4,500,24,0,0,24,24.1,0,0,24.1,825,626,"✅ Fixed"
500,".800",0.6,500,23.6,0,0,23.6,25,0,0,25,820,615,"✅ Fixed"
500,".800",0.8,500,26,0,0,26,26.1,0,0,26.1,849,627,"✅ Fixed"
500,".800",1,500,25.2,0,0,25.2,26.5,0,0,26.5,839,617,"✅ Fixed"
1000,".200",0,500,28.4,0,0,28.4,28.3,0,0,28.3,881,632,"✅ Fixed"
1000,".200",0.2,500,28.4,0,0,28.4,31.2,0,0,31.2,881,606,"✅ Fixed"
1000,".200",0.4,500,34,0,0,34,33.1,0,0,33.1,965,646,"✅ Fixed"
1000,".200",0.6,500,36.2,0,0,36.2,36.9,0,0,36.9,1002,632,"✅ Fixed"
1000,".200",0.8,500,35.6,0,0,35.6,35,0,0,35,992,645,"✅ Fixed"
1000,".200",1,500,38,0,0,38,37.7,0,0,37.7,1036,645,"✅ Fixed"
1000,".300",0,500,32,0,0,32,33.2,0,0,33.2,933,623,"✅ Fixed"
1000,".300",0.2,500,33,0,0,33,31.3,0,0,31.3,948,651,"✅ Fixed"
1000,".300",0.4,500,35.8,0,0,35.8,33.2,0,0,33.2,995,665,"✅ Fixed"
1000,".300",0.6,500,38.8,0,0,38.8,35.7,0,0,35.7,1052,676,"✅ Fixed"
1000,".300",0.8,500,33.8,0,0,33.8,36.3,0,0,36.3,961,612,"✅ Fixed"
1000,".300",1,500,38,0,0,38,38.4,0,0,38.4,1036,638,"✅ Fixed"
1000,".400",0,500,34.2,0,0,34.2,33.2,0,0,33.2,968,647,"✅ Fixed"
1000,".400",0.2,500,29.6,0,0,29.6,30.8,0,0,30.8,897,621,"✅ Fixed"
1000,".400",0.4,500,29.6,0,0,29.6,33.6,0,0,33.6,897,596,"✅ Fixed"
1000,".400",0.6,500,33.8,0,0,33.8,35.5,0,0,35.5,961,620,"✅ Fixed"
1000,".400",0.8,500,33.6,0,0,33.6,34.3,0,0,34.3,958,629,"✅ Fixed"
1000,".400",1,500,34.8,0,0,34.8,34.9,0,0,34.9,978,637,"✅ Fixed"
1000,".600",0,500,33.2,0,0,33.2,32.4,0,0,32.4,952,644,"✅ Fixed"
1000,".600",0.2,500,29.2,0,0,29.2,30.5,0,0,30.5,892,620,"✅ Fixed"
1000,".600",0.4,500,26.4,0,0,26.4,27.8,0,0,27.8,854,617,"✅ Fixed"
1000,".600",0.6,500,29.6,0,0,29.6,29.4,0,0,29.4,897,633,"✅ Fixed"
1000,".600",0.8,500,30.4,0,0,30.4,30.6,0,0,30.6,909,631,"✅ Fixed"
1000,".600",1,500,27,0,0,27,26.9,0,0,26.9,862,630,"✅ Fixed"
1000,".700",0,500,29,0,0,29,28.2,0,0,28.2,889,638,"✅ Fixed"
1000,".700",0.2,500,28.8,0,0,28.8,28.2,0,0,28.2,886,636,"✅ Fixed"
1000,".700",0.4,500,26.2,0,0,26.2,27,0,0,27,852,622,"✅ Fixed"
1000,".700",0.6,500,24.2,0,0,24.2,23.9,0,0,23.9,827,629,"✅ Fixed"
1000,".700",0.8,500,24.8,0,0,24.8,25.7,0,0,25.7,834,620,"✅ Fixed"
1000,".700",1,500,25.6,0,0,25.6,26.7,0.1,0,26.7,844,619,"✅ Fixed"
1000,".800",0,500,30,0,0,30,29.8,0,0,29.8,903,634,"✅ Fixed"
1000,".800",0.2,500,25.2,0,0,25.2,26.8,0,0,26.8,839,614,"✅ Fixed"
1000,".800",0.4,500,24.6,0,0,24.6,23.1,0,0,23.1,832,640,"✅ Fixed"
1000,".800",0.6,500,19.4,0,0,19.4,20,0,0,20,774,619,"✅ Fixed"
1000,".800",0.8,500,22,0,0,22,23.3,0,0,23.3,802,615,"✅ Fixed"
1000,".800",1,500,23.8,0,0,23.8,25.1,0,0,25.1,822,616,"✅ Fixed"
2000,".200",0,500,23,0,0,23,26.9,0,0,26.9,813,594,"✅ Fixed"
2000,".200",0.2,500,28.8,0,0,28.8,27.5,0,0,27.5,886,642,"✅ Fixed"
2000,".200",0.4,500,34.6,0,0,34.6,32.7,0,0,32.7,975,656,"✅ Fixed"
2000,".200",0.6,500,44,0,0,44,43.9,0,0,43.9,1167,655,"✅ Fixed"
2000,".200",0.8,500,38.8,0,0,38.8,38,0,0,38,1052,652,"✅ Fixed"
2000,".200",1,500,40.4,0,0,40.4,41.3,0,0,41.3,1084,636,"✅ Fixed"
2000,".300",0,500,30.2,0,0,30.2,29.7,0,0,29.7,906,637,"✅ Fixed"
2000,".300",0.2,500,25.2,0,0,25.2,28,0,0,28,839,604,"✅ Fixed"
2000,".300",0.4,500,32,0,0,32,32,0,0,32,933,634,"✅ Fixed"
2000,".300",0.6,500,34.6,0,0,34.6,36.3,0,0,36.3,975,621,"✅ Fixed"
2000,".300",0.8,500,35.2,0,0,35.2,38.7,0,0,38.7,985,604,"✅ Fixed"
2000,".300",1,500,35,0.2,0,35.2,37.4,0.1,0,37.5,985,616,"✅ Fixed"
2000,".400",0,500,26.6,0,0,26.6,27.9,0,0,27.9,857,618,"✅ Fixed"
2000,".400",0.2,500,27,0,0,27,25.9,0,0,25.9,862,639,"✅ Fixed"
2000,".400",0.4,500,31,0,0,31,31.7,0,0,31.7,918,627,"✅ Fixed"
2000,".400",0.6,500,38.6,0,0,38.6,35.6,0,0,35.6,1048,675,"✅ Fixed"
2000,".400",0.8,500,33.2,0,0,33.2,32.9,0,0,32.9,952,639,"✅ Fixed"
2000,".400",1,500,35.8,0,0,35.8,36.7,0.1,0,36.7,995,630,"✅ Fixed"
2000,".600",0,500,25.2,0,0,25.2,26.2,0,0,26.2,839,619,"✅ Fixed"
2000,".600",0.2,500,27.8,0,0,27.8,25.3,0,0,25.3,872,651,"✅ Fixed"
2000,".600",0.4,500,29.2,0,0,29.2,27.7,0,0,27.7,892,645,"✅ Fixed"
2000,".600",0.6,500,23.4,0,0,23.4,27.6,0,0,27.6,818,592,"✅ Fixed"
2000,".600",0.8,500,26.8,0,0,26.8,25.7,0,0,25.7,859,638,"✅ Fixed"
2000,".600",1,500,25.8,0,0,25.8,27.4,0,0,27.4,847,615,"✅ Fixed"
2000,".700",0,500,27.4,0,0,27.4,28.6,0,0,28.6,867,619,"✅ Fixed"
2000,".700",0.2,500,27,0,0,27,26.7,0,0,26.7,862,632,"✅ Fixed"
2000,".700",0.4,500,26.8,0,0,26.8,25.1,0,0,25.1,859,643,"✅ Fixed"
2000,".700",0.6,500,18.4,0.2,0,18.4,19.4,0.1,0,19.4,764,616,"✅ Fixed"
2000,".700",0.8,500,22.4,0,0,22.4,23.6,0,0,23.6,806,616,"✅ Fixed"
2000,".700",1,500,22.4,0,0,22.4,23.1,0,0,23.1,806,620,"✅ Fixed"
2000,".800",0,500,29.2,0,0,29.2,28.5,0,0,28.5,892,638,"✅ Fixed"
2000,".800",0.2,500,27.2,0,0,27.2,27.6,0,0,27.6,865,626,"✅ Fixed"
2000,".800",0.4,500,19.4,0,0,19.4,20.8,0,0,20.8,774,613,"✅ Fixed"
2000,".800",0.6,500,16,0,0,16,15.5,0,0,15.5,740,625,"✅ Fixed"
2000,".800",0.8,500,25.6,0,0,25.6,25.7,0,0,25.7,844,627,"✅ Fixed"
2000,".800",1,500,22.4,0,0,22.4,23.9,0,0,23.9,806,613,"✅ Fixed"
4000,".200",0,500,25.6,0,0,25.6,25.6,0,0,25.6,844,628,"✅ Fixed"
4000,".200",0.2,500,30.2,0,0,30.2,29.1,0,0,29.1,906,642,"✅ Fixed"
4000,".200",0.4,500,33.6,0,0,33.6,33,0,0,33,958,642,"✅ Fixed"
4000,".200",0.6,500,45.4,0,0,45.4,44.7,0,0,44.7,1202,665,"✅ Fixed"
4000,".200",0.8,500,37.2,0,0,37.2,38.2,0,0,38.2,1021,631,"✅ Fixed"
4000,".200",1,500,42.6,0,0,42.6,39.7,0,0,39.7,1133,683,"✅ Fixed"
4000,".300",0,500,26.6,0,0,26.6,26.5,0,0,26.5,857,630,"✅ Fixed"
4000,".300",0.2,500,22.8,0,0,22.8,22.9,0,0,22.9,811,625,"✅ Fixed"
4000,".300",0.4,500,29.4,0,0,29.4,28.7,0,0,28.7,894,637,"✅ Fixed"
4000,".300",0.6,500,36.2,0,0,36.2,33.6,0,0,33.6,1002,665,"✅ Fixed"
4000,".300",0.8,500,37.8,0,0,37.8,35.9,0,0,35.9,1032,662,"✅ Fixed"
4000,".300",1,500,39.6,0,0,39.6,37.2,0,0,37.2,1068,671,"✅ Fixed"
4000,".400",0,500,22.2,0,0,22.2,21.3,0,0,21.3,804,633,"✅ Fixed"
4000,".400",0.2,500,23.8,0,0,23.8,24,0,0,24,822,625,"✅ Fixed"
4000,".400",0.4,500,25.8,0,0,25.8,25.4,0,0,25.4,847,632,"✅ Fixed"
4000,".400",0.6,500,33.4,0,0,33.4,32,0,0,32,955,649,"✅ Fixed"
4000,".400",0.8,500,28.2,0,0,28.2,30.1,0,0,30.1,878,614,"✅ Fixed"
4000,".400",1,500,37.2,0,0,37.2,36.9,0,0,36.9,1021,644,"✅ Fixed"
4000,".600",0,500,22,0,0,22,22.6,0,0,22.6,802,621,"✅ Fixed"
4000,".600",0.2,500,20.4,0,0,20.4,19.1,0,0,19.1,784,634,"✅ Fixed"
4000,".600",0.4,500,19.2,0,0,19.2,17.9,0,0,17.9,772,634,"✅ Fixed"
4000,".600",0.6,500,17,0,0,17,16.9,0,0,16.9,750,623,"✅ Fixed"
4000,".600",0.8,500,15.8,0,0,15.8,16.6,0,0,16.6,739,616,"✅ Fixed"
4000,".600",1,500,22.2,0,0,22.2,22.4,0,0,22.4,804,624,"✅ Fixed"
4000,".700",0,500,26.8,0,0,26.8,23.6,0,0,23.6,859,656,"✅ Fixed"
4000,".700",0.2,500,22.8,0,0,22.8,23.7,0,0,23.7,811,619,"✅ Fixed"
4000,".700",0.4,500,18.6,0,0,18.6,19.7,0,0,19.7,766,615,"✅ Fixed"
