"FileName","Population","TPs","N","N_numeric","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0",".200",-1.385,"N = 500","500","0",854,248,29,0,0,0,0,248,29,606,"No",755
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0",".300",-0.85,"N = 500","500","0",909,275,30.3,0,0,0,0,275,30.3,634,"No",768
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0",".400",-0.41,"N = 500","500","0",942,319,33.9,0,0,0,0,319,33.9,623,"No",807
"rilta_lta_n_500_tp_0.41_th_1_lambda_0",".600",0.41,"N = 500","500","0",870,257,29.5,0,0,0,0,257,29.5,613,"No",760
"rilta_lta_n_500_tp_0.85_th_1_lambda_0",".700",0.85,"N = 500","500","0",894,251,28.1,0,0,0,0,251,28.1,643,"No",746
"rilta_lta_n_500_tp_1.385_th_1_lambda_0",".800",1.385,"N = 500","500","0",886,241,27.2,0,0,0,0,241,27.2,645,"No",737
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.2",".200",-1.385,"N = 500","500","0.2",862,243,28.2,0,0,0,0,243,28.2,619,"No",747
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.2",".300",-0.85,"N = 500","500","0.2",948,300,31.6,0,0,0,0,300,31.6,648,"No",781
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.2",".400",-0.41,"N = 500","500","0.2",933,307,32.9,0,0,0,0,307,32.9,626,"No",796
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.2",".600",0.41,"N = 500","500","0.2",933,287,30.8,0,0,0,0,287,30.8,646,"No",773
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.2",".700",0.85,"N = 500","500","0.2",886,257,29,0,0,0,0,257,29,629,"No",755
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.2",".800",1.385,"N = 500","500","0.2",854,233,27.3,0,0,0,0,233,27.3,621,"No",738
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.4",".200",-1.385,"N = 500","500","0.4",909,272,29.9,0,0,0,0,272,29.9,637,"No",764
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.4",".300",-0.85,"N = 500","500","0.4",924,273,29.5,0,0,0,0,273,29.5,651,"No",760
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.4",".400",-0.41,"N = 500","500","0.4",892,277,31.1,0,0,0,0,277,31.1,615,"No",776
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.4",".600",0.41,"N = 500","500","0.4",961,305,31.7,0,0,1,0.1,306,31.8,655,"No",784
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.4",".700",0.85,"N = 500","500","0.4",921,282,30.6,0,0,0,0,282,30.6,639,"No",771
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.4",".800",1.385,"N = 500","500","0.4",825,199,24.1,0,0,0,0,199,24.1,626,"No",709
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.6",".200",-1.385,"N = 500","500","0.6",975,325,33.3,0,0,0,0,325,33.3,650,"No",800
