"FileName","Model","Population","TPs","N","N_numeric","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed"
"rilta_lta_m2_n_2500_tp_3.179_m_2_l_0.7","Model 2",".800",3.179,"N = 2500",2500,2,".33, .33, .33","0.7",817,189,23.1,0,0,0,0,189,23.1,628,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_2_l_0.9","Model 2",".800",3.179,"N = 2500",2500,2,".33, .33, .33","0.9",902,242,26.8,0,0,0,0,242,26.8,660,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_2_l_a","Model 2",".800",3.179,"N = 2500",2500,2,".33, .33, .33","A",901,164,18.2,0,0,0,0,164,18.2,737,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_2_l_b","Model 2",".800",3.179,"N = 2500",2500,2,".33, .33, .33","B",902,177,19.6,0,0,0,0,177,19.6,725,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_2_l_c","Model 2",".800",3.179,"N = 2500",2500,2,".33, .33, .33","C",903,201,22.3,0,0,0,0,201,22.3,702,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_2_l_d","Model 2",".800",3.179,"N = 2500",2500,2,".33, .33, .33","D",902,214,23.7,0,0,0,0,214,23.7,688,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_3_l_0.3","Model 2",".800",3.179,"N = 2500",2500,3,".60, .30, .10","0.3",722,109,15.1,0,0,0,0,109,15.1,613,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_3_l_0.5","Model 2",".800",3.179,"N = 2500",2500,3,".60, .30, .10","0.5",735,108,14.7,0,0,0,0,108,14.7,627,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_3_l_0.7","Model 2",".800",3.179,"N = 2500",2500,3,".60, .30, .10","0.7",758,144,19,0,0,0,0,144,19,614,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_3_l_0.9","Model 2",".800",3.179,"N = 2500",2500,3,".60, .30, .10","0.9",798,168,21.1,0,0,0,0,168,21.1,630,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_3_l_a","Model 2",".800",3.179,"N = 2500",2500,3,".60, .30, .10","A",799,124,15.5,0,0,0,0,124,15.5,675,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_3_l_b","Model 2",".800",3.179,"N = 2500",2500,3,".60, .30, .10","B",800,130,16.2,1,0.1,0,0,131,16.4,669,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_3_l_c","Model 2",".800",3.179,"N = 2500",2500,3,".60, .30, .10","C",799,109,13.6,0,0,0,0,109,13.6,690,"No"
"rilta_lta_m2_n_2500_tp_3.179_m_3_l_d","Model 2",".800",3.179,"N = 2500",2500,3,".60, .30, .10","D",798,105,13.2,0,0,0,0,105,13.2,693,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_1_l_0.3","Model 3",".800",3.179,"N = 2500",2500,1,".10, .30, .60","0.3",849,191,22.5,17,2,0,0,205,24.1,644,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_1_l_0.5","Model 3",".800",3.179,"N = 2500",2500,1,".10, .30, .60","0.5",809,190,23.5,15,1.9,0,0,203,25.1,606,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_1_l_0.7","Model 3",".800",3.179,"N = 2500",2500,1,".10, .30, .60","0.7",847,215,25.4,5,0.6,0,0,219,25.9,628,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_1_l_0.9","Model 3",".800",3.179,"N = 2500",2500,1,".10, .30, .60","0.9",958,319,33.3,0,0,0,0,319,33.3,639,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_1_l_a","Model 3",".800",3.179,"N = 2500",2500,1,".10, .30, .60","A",957,237,24.8,10,1,0,0,244,25.5,713,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_1_l_b","Model 3",".800",3.179,"N = 2500",2500,1,".10, .30, .60","B",955,191,20,34,3.6,0,0,219,22.9,736,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_1_l_c","Model 3",".800",3.179,"N = 2500",2500,1,".10, .30, .60","C",957,183,19.1,65,6.8,0,0,238,24.9,719,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_1_l_d","Model 3",".800",3.179,"N = 2500",2500,1,".10, .30, .60","D",957,200,20.9,98,10.2,0,0,275,28.7,682,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_2_l_0.3","Model 3",".800",3.179,"N = 2500",2500,2,".33, .33, .33","0.3",930,299,32.2,0,0,0,0,299,32.2,631,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_2_l_0.5","Model 3",".800",3.179,"N = 2500",2500,2,".33, .33, .33","0.5",987,344,34.9,0,0,0,0,344,34.9,643,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_2_l_0.7","Model 3",".800",3.179,"N = 2500",2500,2,".33, .33, .33","0.7",994,376,37.8,0,0,0,0,376,37.8,618,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_2_l_0.9","Model 3",".800",3.179,"N = 2500",2500,2,".33, .33, .33","0.9",1036,402,38.8,0,0,0,0,402,38.8,634,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_2_l_a","Model 3",".800",3.179,"N = 2500",2500,2,".33, .33, .33","A",1036,339,32.7,0,0,0,0,339,32.7,697,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_2_l_b","Model 3",".800",3.179,"N = 2500",2500,2,".33, .33, .33","B",1036,309,29.8,0,0,0,0,309,29.8,727,"No"
"rilta_lta_m3_n_2500_tp_3.179_m_2_l_c","Model 3",".800",3.179,"N = 2500",2500,2,".33, .33, .33","C",1036,269,26,2,0.2,0,0,271,26.2,765,"No"
