"N_numeric","N","Population","Model","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"500","N = 500",".200","Model 2",0.407,2,".33, .33, .33","A",500,8.8,0.2,2.4,11.2,8.5,0.3,3.3,11.7,767,677,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,2,".33, .33, .33","A",500,25.2,0.4,2.6,27.2,25.6,0.4,2.8,27.7,970,701,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,2,".33, .33, .33","B",500,50,0.4,19.4,59.8,49.5,0.8,21.4,59.6,1672,676,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,2,".33, .33, .33","B",499,9.4,0.4,3.4,13.2,10.2,0.5,3.4,13.6,766,662,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,2,".33, .33, .33","B",500,22.6,0,3.2,25,22.5,0.2,3.4,25.5,970,723,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,2,".33, .33, .33","C",500,48,0.8,26.8,60,49.8,0.8,26.9,62.3,1672,630,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,2,".33, .33, .33","C",499,12.4,0.2,3.2,15.8,11.9,0.3,2.9,14.9,765,651,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,2,".33, .33, .33","C",500,18.6,1,2.6,21.4,19.3,0.7,4.1,22.7,971,751,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,2,".33, .33, .33","D",500,50.4,1.2,28.8,64.2,51.5,0.8,26.7,63.9,1672,603,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,2,".33, .33, .33","D",500,10.6,0.4,3.8,14.6,10.6,0.3,3.1,13.7,767,662,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,2,".33, .33, .33","D",500,20.6,0,9.2,27,20.6,0,9.3,26.6,971,713,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,3,".60, .30, .10","0.3",499,44.5,0.8,27.1,58.3,43.9,0.8,28.3,59.1,1675,685,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,3,".60, .30, .10","0.3",497,15.7,0.8,4,20.1,14.5,0.6,3.4,18.2,771,631,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,3,".60, .30, .10","0.3",499,24.6,0,2,25.5,23.7,0,1.3,24.3,839,635,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,3,".60, .30, .10","0.5",497,43.3,0.6,28.8,59.6,45.4,0.3,27.4,60,1733,693,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,3,".60, .30, .10","0.5",494,15.4,0.4,3.2,18.4,15,0.4,2.7,17.6,745,614,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,3,".60, .30, .10","0.5",499,21.8,0.2,2,23.6,20.9,0.5,1.7,22.9,814,628,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,3,".60, .30, .10","0.7",496,48.4,0.4,27.6,62.5,45.8,0.5,29.6,61.4,1913,739,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,3,".60, .30, .10","0.7",498,14.3,0.6,3.2,17.1,14.5,0.7,2.7,17.2,745,617,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,3,".60, .30, .10","0.7",498,26.5,0,2.6,28.3,25,0,2.1,26.3,872,643,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,3,".60, .30, .10","0.9",491,50.3,0,27.3,62.5,49.2,0.4,28.4,62.3,1875,707,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,3,".60, .30, .10","0.9",496,15.9,0.6,2.2,18.5,16.6,0.5,2.3,18.8,754,612,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,3,".60, .30, .10","0.9",498,25.9,0,3,26.9,24.8,0,3.3,26.4,855,629,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,3,".60, .30, .10","A",498,53.8,0.2,48.4,74.5,53.2,0.9,47.7,73.4,1905,506,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,3,".60, .30, .10","A",497,12.7,0.6,3.2,16.1,13.1,0.7,3.3,16.6,755,630,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,3,".60, .30, .10","A",497,20.3,0.2,1.2,21.5,22.9,0.1,1.3,23.9,852,648,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,3,".60, .30, .10","B",498,44.2,1,33.3,61.2,43.3,0.4,33.1,61.4,1897,732,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,3,".60, .30, .10","B",498,14.7,0,1.6,15.9,14,0.3,1.9,15.9,755,635,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,3,".60, .30, .10","B",496,23.6,0,1.4,24.6,22.9,0.2,1.8,24.5,850,642,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,3,".60, .30, .10","C",497,49.1,0.6,36,66.8,42.7,0.6,34,61.5,1896,730,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,3,".60, .30, .10","C",500,15,0.4,3.2,18.4,13.9,0.7,2.5,16.9,758,630,"✅ Fixed"
"500","N = 500",".200","Model 3",0.407,3,".60, .30, .10","C",497,16.5,0.2,2.2,18.7,17.7,0.1,1.8,19.2,854,690,"✅ Fixed"
"500","N = 500",".200","Model 1",0.407,3,".60, .30, .10","D",497,42.9,0.6,35,62,40.6,0.7,33.8,60.5,1900,751,"✅ Fixed"
"500","N = 500",".200","Model 2",0.407,3,".60, .30, .10","D",500,14.6,0.4,4.4,19,13.8,0.4,3.3,17,759,630,"✅ Fixed"
