"FileName","Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_m2_n_500_tp_0.407_m_1_l_c","Model 2","N = 500",500,".200",0.407,1,".10, .30, .60","C",500,27,5.4,18,3.6,3,0.6,47,9.4,453,"Yes",684
"rilta_lta_m2_n_500_tp_0.407_m_1_l_d","Model 2","N = 500",500,".200",0.407,1,".10, .30, .60","D",500,25,5,20,4,2,0.4,47,9.4,453,"Yes",684
"rilta_lta_m2_n_500_tp_0.407_m_2_l_0.3","Model 2","N = 500",500,".200",0.407,2,".33, .33, .33","0.3",499,43,8.6,17,3.4,5,1,64,12.8,435,"Yes",710
"rilta_lta_m2_n_500_tp_0.407_m_2_l_0.5","Model 2","N = 500",500,".200",0.407,2,".33, .33, .33","0.5",500,53,10.6,27,5.4,1,0.2,81,16.2,419,"Yes",742
"rilta_lta_m2_n_500_tp_0.407_m_2_l_0.7","Model 2","N = 500",500,".200",0.407,2,".33, .33, .33","0.7",499,44,8.8,20,4,3,0.6,65,13,434,"Yes",712
"rilta_lta_m2_n_500_tp_0.407_m_2_l_0.9","Model 2","N = 500",500,".200",0.407,2,".33, .33, .33","0.9",499,79,15.8,18,3.6,1,0.2,95,19,404,"Yes",768
"rilta_lta_m2_n_500_tp_0.407_m_2_l_a","Model 2","N = 500",500,".200",0.407,2,".33, .33, .33","A",500,44,8.8,12,2.4,1,0.2,56,11.2,444,"Yes",698
"rilta_lta_m2_n_500_tp_0.407_m_2_l_b","Model 2","N = 500",500,".200",0.407,2,".33, .33, .33","B",499,47,9.4,17,3.4,2,0.4,66,13.2,433,"Yes",714
"rilta_lta_m2_n_500_tp_0.407_m_2_l_c","Model 2","N = 500",500,".200",0.407,2,".33, .33, .33","C",499,62,12.4,16,3.2,1,0.2,79,15.8,420,"Yes",737
"rilta_lta_m2_n_500_tp_0.407_m_2_l_d","Model 2","N = 500",500,".200",0.407,2,".33, .33, .33","D",500,53,10.6,19,3.8,2,0.4,73,14.6,427,"Yes",728
"rilta_lta_m2_n_500_tp_0.407_m_3_l_0.3","Model 2","N = 500",500,".200",0.407,3,".60, .30, .10","0.3",497,78,15.7,20,4,4,0.8,100,20.1,397,"Yes",777
"rilta_lta_m2_n_500_tp_0.407_m_3_l_0.5","Model 2","N = 500",500,".200",0.407,3,".60, .30, .10","0.5",494,76,15.4,16,3.2,2,0.4,91,18.4,403,"Yes",755
"rilta_lta_m2_n_500_tp_0.407_m_3_l_0.7","Model 2","N = 500",500,".200",0.407,3,".60, .30, .10","0.7",498,71,14.3,16,3.2,3,0.6,85,17.1,413,"Yes",748
"rilta_lta_m2_n_500_tp_0.407_m_3_l_0.9","Model 2","N = 500",500,".200",0.407,3,".60, .30, .10","0.9",496,79,15.9,11,2.2,3,0.6,92,18.5,404,"Yes",759
"rilta_lta_m2_n_500_tp_0.407_m_3_l_a","Model 2","N = 500",500,".200",0.407,3,".60, .30, .10","A",497,63,12.7,16,3.2,3,0.6,80,16.1,417,"Yes",737
"rilta_lta_m2_n_500_tp_0.407_m_3_l_b","Model 2","N = 500",500,".200",0.407,3,".60, .30, .10","B",498,73,14.7,8,1.6,0,0,79,15.9,419,"Yes",737
"rilta_lta_m2_n_500_tp_0.407_m_3_l_c","Model 2","N = 500",500,".200",0.407,3,".60, .30, .10","C",500,75,15,16,3.2,2,0.4,92,18.4,408,"Yes",764
"rilta_lta_m2_n_500_tp_0.407_m_3_l_d","Model 2","N = 500",500,".200",0.407,3,".60, .30, .10","D",500,73,14.6,22,4.4,2,0.4,95,19,405,"Yes",770
"rilta_lta_m3_n_500_tp_0.407_m_1_l_0.3","Model 3","N = 500",500,".200",0.407,1,".10, .30, .60","0.3",500,97,19.4,55,11,2,0.4,139,27.8,361,"Yes",872
"rilta_lta_m3_n_500_tp_0.407_m_1_l_0.5","Model 3","N = 500",500,".200",0.407,1,".10, .30, .60","0.5",500,106,21.2,36,7.2,2,0.4,122,24.4,378,"Yes",829
"rilta_lta_m3_n_500_tp_0.407_m_1_l_0.7","Model 3","N = 500",500,".200",0.407,1,".10, .30, .60","0.7",498,121,24.3,27,5.4,0,0,141,28.3,357,"Yes",876
"rilta_lta_m3_n_500_tp_0.407_m_1_l_0.9","Model 3","N = 500",500,".200",0.407,1,".10, .30, .60","0.9",500,187,37.4,15,3,2,0.4,196,39.2,304,"Yes",1060
"rilta_lta_m3_n_500_tp_0.407_m_1_l_a","Model 3","N = 500",500,".200",0.407,1,".10, .30, .60","A",500,135,27,62,12.4,3,0.6,162,32.4,338,"Yes",939
"rilta_lta_m3_n_500_tp_0.407_m_1_l_b","Model 3","N = 500",500,".200",0.407,1,".10, .30, .60","B",499,94,18.8,56,11.2,0,0,139,27.9,360,"Yes",872
"rilta_lta_m3_n_500_tp_0.407_m_1_l_c","Model 3","N = 500",500,".200",0.407,1,".10, .30, .60","C",500,86,17.2,64,12.8,2,0.4,131,26.2,369,"Yes",852
"rilta_lta_m3_n_500_tp_0.407_m_1_l_d","Model 3","N = 500",500,".200",0.407,1,".10, .30, .60","D",500,121,24.2,81,16.2,0,0,179,35.8,321,"Yes",995
"rilta_lta_m3_n_500_tp_0.407_m_2_l_0.3","Model 3","N = 500",500,".200",0.407,2,".33, .33, .33","0.3",500,133,26.6,15,3,0,0,144,28.8,356,"Yes",886
"rilta_lta_m3_n_500_tp_0.407_m_2_l_0.5","Model 3","N = 500",500,".200",0.407,2,".33, .33, .33","0.5",498,129,25.9,17,3.4,2,0.4,146,29.3,352,"Yes",890
"rilta_lta_m3_n_500_tp_0.407_m_2_l_0.7","Model 3","N = 500",500,".200",0.407,2,".33, .33, .33","0.7",500,123,24.6,16,3.2,2,0.4,137,27.4,363,"Yes",867
"rilta_lta_m3_n_500_tp_0.407_m_2_l_0.9","Model 3","N = 500",500,".200",0.407,2,".33, .33, .33","0.9",500,167,33.4,9,1.8,1,0.2,172,34.4,328,"Yes",971
"rilta_lta_m3_n_500_tp_0.407_m_2_l_a","Model 3","N = 500",500,".200",0.407,2,".33, .33, .33","A",500,126,25.2,13,2.6,2,0.4,136,27.2,364,"Yes",865
"rilta_lta_m3_n_500_tp_0.407_m_2_l_b","Model 3","N = 500",500,".200",0.407,2,".33, .33, .33","B",500,113,22.6,16,3.2,0,0,125,25,375,"Yes",837
"rilta_lta_m3_n_500_tp_0.407_m_2_l_c","Model 3","N = 500",500,".200",0.407,2,".33, .33, .33","C",500,93,18.6,13,2.6,5,1,107,21.4,393,"Yes",795
"rilta_lta_m3_n_500_tp_0.407_m_2_l_d","Model 3","N = 500",500,".200",0.407,2,".33, .33, .33","D",500,103,20.6,46,9.2,0,0,135,27,365,"Yes",862
"rilta_lta_m3_n_500_tp_0.407_m_3_l_0.3","Model 3","N = 500",500,".200",0.407,3,".60, .30, .10","0.3",499,123,24.6,10,2,0,0,127,25.5,372,"Yes",841
"rilta_lta_m3_n_500_tp_0.407_m_3_l_0.5","Model 3","N = 500",500,".200",0.407,3,".60, .30, .10","0.5",499,109,21.8,10,2,1,0.2,118,23.6,381,"Yes",818
"rilta_lta_m3_n_500_tp_0.407_m_3_l_0.7","Model 3","N = 500",500,".200",0.407,3,".60, .30, .10","0.7",498,132,26.5,13,2.6,0,0,141,28.3,357,"Yes",876
"rilta_lta_m3_n_500_tp_0.407_m_3_l_0.9","Model 3","N = 500",500,".200",0.407,3,".60, .30, .10","0.9",498,129,25.9,15,3,0,0,134,26.9,364,"Yes",857
"rilta_lta_m3_n_500_tp_0.407_m_3_l_a","Model 3","N = 500",500,".200",0.407,3,".60, .30, .10","A",497,101,20.3,6,1.2,1,0.2,107,21.5,390,"Yes",792
"rilta_lta_m3_n_500_tp_0.407_m_3_l_b","Model 3","N = 500",500,".200",0.407,3,".60, .30, .10","B",496,117,23.6,7,1.4,0,0,122,24.6,374,"Yes",826
"rilta_lta_m3_n_500_tp_0.407_m_3_l_c","Model 3","N = 500",500,".200",0.407,3,".60, .30, .10","C",497,82,16.5,11,2.2,1,0.2,93,18.7,404,"Yes",762
"rilta_lta_m3_n_500_tp_0.407_m_3_l_d","Model 3","N = 500",500,".200",0.407,3,".60, .30, .10","D",499,103,20.6,18,3.6,0,0,114,22.8,385,"Yes",809
"rilta_lta_m1_n_500_tp_3.179_m_1_l_0.3","Model 1","N = 500",500,".800",3.179,1,".10, .30, .60","0.3",499,227,45.5,194,38.9,2,0.4,347,69.5,152,"Yes",2614
"rilta_lta_m1_n_500_tp_3.179_m_1_l_0.5","Model 1","N = 500",500,".800",3.179,1,".10, .30, .60","0.5",500,260,52,191,38.2,3,0.6,348,69.6,152,"Yes",2633
