"Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"Model 3","N = 2500","2500",".800",3.179,2,".33, .33, .33",500,104,20.8,1,0.2,0,0,105,21,791
"Model 3","N = 2500","2500",".800",3.179,3,".60, .30, .10",500,91,18.2,0,0,0,0,91,18.2,762
"Model 1","N = 5000","5000",".200",0.407,1,".10, .30, .60",500,128,25.6,0,0,0,0,128,25.6,844
"Model 1","N = 5000","5000",".200",0.407,2,".33, .33, .33",500,231,46.2,0,0,0,0,231,46.2,1224
"Model 1","N = 5000","5000",".200",0.407,3,".60, .30, .10",500,205,41,1,0.2,1,0.2,205,41,1097
"Model 2","N = 5000","5000",".200",0.407,1,".10, .30, .60",500,11,2.2,0,0,0,0,11,2.2,632
"Model 2","N = 5000","5000",".200",0.407,2,".33, .33, .33",500,9,1.8,0,0,0,0,9,1.8,629
"Model 2","N = 5000","5000",".200",0.407,3,".60, .30, .10",500,2,0.4,0,0,0,0,2,0.4,620
"Model 3","N = 5000","5000",".200",0.407,1,".10, .30, .60",500,27,5.4,60,12,3,0.6,85,17,750
"Model 3","N = 5000","5000",".200",0.407,2,".33, .33, .33",500,86,17.2,46,9.2,3,0.6,130,26,849
"Model 3","N = 5000","5000",".200",0.407,3,".60, .30, .10",500,61,12.2,1,0.2,0,0,61,12.2,707
"Model 1","N = 5000","5000",".800",3.179,1,".10, .30, .60",500,164,32.8,15,3,0,0,178,35.6,992
"Model 1","N = 5000","5000",".800",3.179,2,".33, .33, .33",500,316,63.2,0,0,0,0,316,63.2,1993
"Model 1","N = 5000","5000",".800",3.179,3,".60, .30, .10",499,195,39.1,1,0.2,0,0,196,39.3,1060
"Model 2","N = 5000","5000",".800",3.179,1,".10, .30, .60",500,7,1.4,0,0,0,0,7,1.4,626
"Model 2","N = 5000","5000",".800",3.179,2,".33, .33, .33",500,0,0,0,0,0,0,0,0,617
"Model 2","N = 5000","5000",".800",3.179,3,".60, .30, .10",500,0,0,0,0,0,0,0,0,617
"Model 3","N = 5000","5000",".800",3.179,1,".10, .30, .60",500,65,13,29,5.8,1,0.2,91,18.2,762
"Model 3","N = 5000","5000",".800",3.179,2,".33, .33, .33",500,133,26.6,1,0.2,1,0.2,135,27,862
"Model 3","N = 5000","5000",".800",3.179,3,".60, .30, .10",500,98,19.6,0,0,1,0.2,99,19.8,778
