"N_numeric","Population","Model","TPs","Mix","Mixing_proportion","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"2500",".200","Model 1",0.407,2,".33, .33, .33",500,46.2,3,15.2,56.2,46.2,3,15.2,56.2,500,219,"⚠️ Additional Runs Required"
"2500",".200","Model 2",0.407,2,".33, .33, .33",500,12.6,5.2,20.6,34.8,12.6,5.2,20.6,34.8,500,326,"⚠️ Additional Runs Required"
"2500",".200","Model 3",0.407,2,".33, .33, .33",500,7,0.4,13,20,7,0.4,13,20,500,400,"⚠️ Additional Runs Required"
"2500",".200","Model 1",0.407,3,".60, .30, .10",500,44.4,0.8,4.4,46.6,44.4,0.8,4.4,46.6,500,267,"⚠️ Additional Runs Required"
"2500",".200","Model 2",0.407,3,".60, .30, .10",497,5,8,22.5,29.6,5,8,22.5,29.6,497,350,"⚠️ Additional Runs Required"
"2500",".200","Model 3",0.407,3,".60, .30, .10",500,13,0.4,10.4,22.6,13,0.4,10.4,22.6,500,387,"⚠️ Additional Runs Required"
"2500",".800","Model 1",3.179,1,".10, .30, .60",500,37.6,1.4,18.4,49.2,46.8,1.4,19.8,58.6,1311,543,"✅ Fixed"
"2500",".800","Model 2",3.179,1,".10, .30, .60",500,3.6,2.2,19.6,24,2.4,3.4,16.6,21.5,825,648,"✅ Fixed"
"2500",".800","Model 3",3.179,1,".10, .30, .60",500,4.6,0.2,14.6,18.8,5.5,0.3,15.1,19.8,768,616,"✅ Fixed"
"2500",".800","Model 1",3.179,2,".33, .33, .33",500,48,1.6,9.8,53.8,47.6,1.2,9.4,53.3,1476,690,"✅ Fixed"
"2500",".800","Model 2",3.179,2,".33, .33, .33",500,7.4,3.2,15.4,23.2,4.2,5.3,14.5,22.2,815,634,"✅ Fixed"
"2500",".800","Model 3",3.179,2,".33, .33, .33",500,8.6,0.2,10.2,18.6,8.9,0.1,10.3,17.9,766,629,"✅ Fixed"
"2500",".800","Model 1",3.179,3,".60, .30, .10",499,37.7,0.4,7.4,42.7,29.5,0.4,7.1,34.5,1130,740,"✅ Fixed"
"2500",".800","Model 2",3.179,3,".60, .30, .10",500,2.4,8.2,17.4,25,2.3,9.4,14.9,24.8,834,627,"✅ Fixed"
"2500",".800","Model 3",3.179,3,".60, .30, .10",500,11.4,0.4,6.6,17.8,9.6,0.4,7.3,17,758,629,"✅ Fixed"
"5000",".200","Model 1",0.407,1,".10, .30, .60",500,37.8,1.8,2.8,40.4,37.8,1.8,2.8,40.4,500,298,"⚠️ Additional Runs Required"
"5000",".200","Model 2",0.407,1,".10, .30, .60",500,4.4,1,17,21.6,4.4,1,17,21.6,500,392,"⚠️ Additional Runs Required"
"5000",".200","Model 3",0.407,1,".10, .30, .60",500,3.8,0.4,11,14.8,3.8,0.4,11,14.8,500,426,"⚠️ Additional Runs Required"
"5000",".200","Model 1",0.407,2,".33, .33, .33",500,53.4,1.2,2.8,55.2,53.4,1.2,2.8,55.2,500,224,"⚠️ Additional Runs Required"
"5000",".200","Model 2",0.407,2,".33, .33, .33",500,11,2.2,14.8,24.6,11,2.2,14.8,24.6,500,377,"⚠️ Additional Runs Required"
