"N_numeric","Population","Model","TPs","Mix","Mixing_proportion","Total_Rows","Violation_Rate","LL_Failure_Rate","Error_Rate","True_Violation_Rate","Final_Violation_Rate","Final_LL_Failure_Rate","Final_Error_Rate","Final_True_Violation_Rate","Reps_Needed_for_Success","Successful_Replications","Status"
"2500",".200","Model 2",0.407,3,".60, .30, .10",500,1,0.2,0,1.2,3.4,0,0,3.4,625,604,"✅ Fixed"
"2500",".200","Model 3",0.407,3,".60, .30, .10",500,10,0.2,1,11.2,16.8,0,0.3,16.9,698,580,"✅ Fixed"
"2500",".800","Model 1",3.179,1,".10, .30, .60",500,26.6,0.2,9.4,33.2,35.3,0,8.5,41.3,949,557,"✅ Fixed"
"2500",".800","Model 2",3.179,1,".10, .30, .60",500,0.8,0.2,0.2,1.2,0.6,0,0.3,1,625,619,"✅ Fixed"
"2500",".800","Model 3",3.179,1,".10, .30, .60",500,12.8,0.2,10.6,21.8,12.4,0,7.4,18.4,800,653,"✅ Fixed"
"2500",".800","Model 1",3.179,2,".33, .33, .33",500,37,0,0.8,37.6,52.6,0,1,53.1,1077,505,"✅ Fixed"
"2500",".800","Model 2",3.179,2,".33, .33, .33",500,0.4,0,0,0.4,6.9,0,0,6.9,620,577,"✅ Fixed"
"2500",".800","Model 3",3.179,2,".33, .33, .33",500,20.8,0,0.2,21,21.7,0,0,21.7,791,619,"✅ Fixed"
"2500",".800","Model 1",3.179,3,".60, .30, .10",500,30,0.2,4.6,33,37.9,0.1,3.2,40.4,948,565,"✅ Fixed"
"2500",".800","Model 2",3.179,3,".60, .30, .10",500,0.2,0,0.2,0.4,3.4,0,0,3.4,620,599,"✅ Fixed"
"2500",".800","Model 3",3.179,3,".60, .30, .10",500,18.2,0,0,18.2,15.6,0,0.1,15.7,762,642,"✅ Fixed"
"5000",".200","Model 1",0.407,1,".10, .30, .60",500,25.6,0,0,25.6,42.5,0,0,42.5,922,530,"✅ Fixed"
"5000",".200","Model 2",0.407,1,".10, .30, .60",500,2.2,0,0,2.2,0.9,0.2,0,1.1,632,625,"✅ Fixed"
"5000",".200","Model 3",0.407,1,".10, .30, .60",500,5.4,0.6,12,17,7.7,0.1,5.2,12.7,750,655,"✅ Fixed"
"5000",".200","Model 1",0.407,2,".33, .33, .33",500,46.2,0,0,46.2,56.9,0,0,56.9,1224,527,"✅ Fixed"
"5000",".200","Model 2",0.407,2,".33, .33, .33",500,1.8,0,0,1.8,2.7,0.3,0,3,629,610,"✅ Fixed"
"5000",".200","Model 3",0.407,2,".33, .33, .33",500,17.2,0.6,9.2,26,17.2,0,1.6,18.5,849,692,"✅ Fixed"
"5000",".200","Model 1",0.407,3,".60, .30, .10",500,41,0.2,0.2,41,44.6,0,0,44.6,1096,607,"✅ Fixed"
"5000",".200","Model 2",0.407,3,".60, .30, .10",500,0.4,0,0,0.4,3.2,0.2,0,3.4,620,599,"✅ Fixed"
"5000",".200","Model 3",0.407,3,".60, .30, .10",500,12.2,0,0.2,12.2,16.7,0,0,16.7,707,589,"✅ Fixed"
"5000",".800","Model 1",3.179,1,".10, .30, .60",500,32.8,0,3,35.6,48,0,1.5,49.1,1041,530,"✅ Fixed"
"5000",".800","Model 2",3.179,1,".10, .30, .60",500,1.4,0,0,1.4,0.8,0,0,0.8,626,621,"✅ Fixed"
"5000",".800","Model 3",3.179,1,".10, .30, .60",500,13,0.2,5.8,18.2,11.8,0,1.7,13.4,762,660,"✅ Fixed"
"5000",".800","Model 1",3.179,2,".33, .33, .33",500,63.2,0,0,63.2,64.2,0,0.1,64.2,1993,714,"✅ Fixed"
"5000",".800","Model 2",3.179,2,".33, .33, .33",500,0,0,0,0,6.3,0,0,6.3,617,578,"✅ Fixed"
"5000",".800","Model 3",3.179,2,".33, .33, .33",500,26.6,0.2,0.2,27,24.5,0.1,0,24.6,862,650,"✅ Fixed"
"5000",".800","Model 1",3.179,3,".60, .30, .10",499,39.1,0,0.2,39.3,46.4,0,0.2,46.5,1062,568,"✅ Fixed"
"5000",".800","Model 2",3.179,3,".60, .30, .10",500,0,0,0,0,2.6,0,0,2.6,617,601,"✅ Fixed"
"5000",".800","Model 3",3.179,3,".60, .30, .10",500,19.6,0.2,0,19.8,16.5,0,0,16.5,778,650,"✅ Fixed"
