1
-.85642088E-003 -.93705509E-003 -.20598286E-002 0.45318666E-002 -.18026547E-002 0.19426260E+002 0.26712877E+004 -.12787982E+003 -.87286334E+002 0.95889134E+000
0.90560906E+000 0.10040412E+001 0.92808782E+000 0.10670879E+001 -.97902821E+000 -.11012212E+001 -.88729866E+000 -.12639130E+001 -.98047460E+000 0.68269647E-001
0.18994081E+000 0.32413464E+000 0.62576137E+000 0.37423863E+000 0.54734295E+000 0.45265705E+000 0.51706079E+000 0.48293921E+000 0.58789004E+000 0.41210996E+000
0.21321814E-002 0.31625201E-002 0.21731590E-002 0.28022827E-002 0.20664863E-002 0.62108693E+002 0.15457488E+005 0.61340300E+002 0.00000000E+000 0.11033885E+000
0.13270837E+000 0.13837590E+000 0.27776658E+000 0.15037327E+000 0.16574979E+000 0.20271808E+000 0.12493049E+000 0.23703852E+000 0.14250282E+000 0.10882216E+000
0.15408102E+000 0.20826527E+000 0.34610187E-001 0.34610187E-001 0.38174904E-001 0.38174904E-001 0.27173866E-001 0.27173866E-001 0.27257178E-001 0.27257178E-001
0.22000000E+002 -.65790419E+004 0.13202084E+005 0.13310055E+005 0.13240181E+005 0.99977404E+003 0.10010000E+004 0.50499590E+000 0.10298311E+004 0.10010000E+004
0.25683266E+000
2
-.54814997E-002 0.14893947E+000 0.17862137E+000 0.19521133E+000 0.12803192E+000 -.95060345E+000 0.23973544E-009 -.22486435E+001 -.17628095E+000 0.11135705E+001
0.84591435E+000 0.72402734E+000 0.10463702E+001 0.81772052E+000 -.94329350E+000 -.10354071E+001 -.94109091E+000 -.12929833E+001 -.10441859E+001 -.32346590E-001
0.48458034E-001 0.36143988E+000 0.60106340E+000 0.39893660E+000 0.51211214E+000 0.48788786E+000 0.49191406E+000 0.50808594E+000 0.55586851E+000 0.44413149E+000
0.11640853E+000 0.71037170E-001 0.10556454E+000 0.18720460E+000 0.15689250E+000 0.13558070E+001 0.12237681E-008 0.88934252E+000 0.10862343E+001 0.15625695E+000
0.17955792E+000 0.25041352E+000 0.36318702E+000 0.26951748E+000 0.11238507E+000 0.11079859E+000 0.12607564E+000 0.15727458E+000 0.14343275E+000 0.10358707E+000
0.20785677E+000 0.39878542E+000 0.60559751E-001 0.60559751E-001 0.51933700E-001 0.51933700E-001 0.25889994E-001 0.25889994E-001 0.29437280E-001 0.29437280E-001
0.22000000E+002 -.65582738E+004 0.13160548E+005 0.13268518E+005 0.13198645E+005 0.10398290E+004 0.10010000E+004 0.19168914E+000 0.10670807E+004 0.10010000E+004
0.72091524E-001
3
0.61275445E+001 0.71792619E+001 0.58429355E+001 0.62749335E+001 0.78025499E+001 0.62407144E+000 0.13098964E-002 0.32920432E+000 0.32274251E+000 0.30326363E+001
0.36794986E+001 0.28287336E+001 0.33675701E+001 0.40416231E+001 0.10947707E+001 0.95846571E+000 0.71261454E+000 0.86788843E+000 0.10044092E+001 -.11992428E+000
-.65738802E+000 0.13462277E+001 0.66570876E+000 0.33429124E+000 0.34132660E+000 0.65867340E+000 0.47005481E+000 0.52994519E+000 0.49380399E+000 0.50619601E+000
