"FileName","Population","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"lta_lta_n_1000_tp_-0.41_th_1",0.4,"N = 1000","Mover",568,0.401,0.039,0.039,0.002,0.945,1,568,0.25,0,0.26975,-0.87856,1,1
"lta_lta_n_1000_tp_-0.85_th_1",0.3,"N = 1000","Mover",549,0.299,0.038,0.038,0.001,0.954,1,549,-0.33,0,-0.35308,-0.043,1,1
"lta_lta_n_1000_tp_-1.385_th_1",0.2,"N = 1000","Mover",565,0.196,0.035,0.035,0.001,0.926,1,565,-2,0,-2.1865,-0.84499,1,1
"lta_lta_n_1000_tp_0.41_th_1",0.6,"N = 1000","Stayer",645,0.601,0.037,0.037,0.001,0.952,1,645,0.17,0,0.17705,0.87871,1,1
"lta_lta_n_1000_tp_0.85_th_1",0.7,"N = 1000","Stayer",582,0.701,0.034,0.035,0.001,0.945,1,582,0.14,-2.86,0.21642,-0.79475,1,1
"lta_lta_n_1000_tp_1.385_th_1",0.8,"N = 1000","Stayer",581,0.801,0.03,0.029,0.001,0.945,1,581,0.13,3.45,0.15243,2.55306,1,1
"lta_lta_n_2000_tp_-0.41_th_1",0.4,"N = 2000","Mover",549,0.4,0.028,0.027,0.001,0.958,1,549,0,3.7,-0.0645,3.90912,1,1
"lta_lta_n_2000_tp_-0.85_th_1",0.3,"N = 2000","Mover",522,0.3,0.027,0.027,0.001,0.946,1,522,0,0,0.0123,1.95758,1,1
"lta_lta_n_2000_tp_-1.385_th_1",0.2,"N = 2000","Mover",582,0.197,0.025,0.025,0.001,0.935,1,582,-1.5,0,-1.371,1.92741,1,1
"lta_lta_n_2000_tp_0.41_th_1",0.6,"N = 2000","Stayer",609,0.601,0.026,0.026,0.001,0.951,1,609,0.17,0,0.19279,-1.2359,1,1
"lta_lta_n_2000_tp_0.85_th_1",0.7,"N = 2000","Stayer",627,0.702,0.024,0.024,0.001,0.951,1,627,0.29,0,0.27617,0.82981,1,1
"lta_lta_n_2000_tp_1.385_th_1",0.8,"N = 2000","Stayer",563,0.802,0.021,0.021,0,0.961,1,563,0.25,0,0.24235,1.66171,1,1
"lta_lta_n_4000_tp_-0.41_th_1",0.4,"N = 4000","Mover",523,0.399,0.019,0.019,0,0.958,1,523,-0.25,0,-0.141,-1.64646,1,1
"lta_lta_n_4000_tp_-0.85_th_1",0.3,"N = 4000","Mover",503,0.299,0.019,0.019,0,0.952,1,503,-0.33,0,-0.38112,1.26856,1,1
"lta_lta_n_4000_tp_-1.385_th_1",0.2,"N = 4000","Mover",510,0.201,0.017,0.017,0,0.953,1,510,0.5,0,0.2515,-0.39128,1,1
"lta_lta_n_4000_tp_0.41_th_1",0.6,"N = 4000","Stayer",627,0.601,0.018,0.018,0,0.946,1,627,0.17,0,0.22254,-1.0973,1,1
"lta_lta_n_4000_tp_0.85_th_1",0.7,"N = 4000","Stayer",678,0.702,0.017,0.017,0,0.95,1,678,0.29,0,0.24836,-1.02619,1,1
"lta_lta_n_4000_tp_1.385_th_1",0.8,"N = 4000","Stayer",584,0.8,0.015,0.015,0,0.942,1,584,0,0,0.03835,-1.38771,1,1
"lta_lta_n_500_tp_-0.41_th_1",0.4,"N = 500","Mover",554,0.401,0.056,0.058,0.003,0.94,1,554,0.25,-3.45,0.18425,-2.38,1,1
"lta_lta_n_500_tp_-0.85_th_1",0.3,"N = 500","Mover",557,0.301,0.054,0.057,0.003,0.917,1,557,0.33,-5.26,0.36177,-4.06394,1,1
"lta_lta_n_500_tp_-1.385_th_1",0.2,"N = 500","Mover",585,0.197,0.05,0.051,0.003,0.92,0.976,585,-1.5,-1.96,-1.689,-2.33884,1,1
"lta_lta_n_500_tp_0.41_th_1",0.6,"N = 500","Stayer",663,0.602,0.053,0.054,0.003,0.946,1,663,0.33,-1.85,0.3223,-0.8428,1,1
"lta_lta_n_500_tp_0.85_th_1",0.7,"N = 500","Stayer",585,0.702,0.049,0.051,0.003,0.933,1,585,0.29,-3.92,0.25912,-3.55972,1,1
"lta_lta_n_500_tp_1.385_th_1",0.8,"N = 500","Stayer",580,0.802,0.043,0.042,0.002,0.947,1,580,0.25,2.38,0.2663,3.1843,1,1
