"FileName","Population","Lambda","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.2",0.4,0.2,"N = 1000","Mover",621,0.41,0.039,0.038,0.002,0.939,1,621,2.5,2.63,2.4905,1.92394,1,1
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.4",0.4,0.4,"N = 1000","Mover",596,0.45,0.039,0.04,0.004,0.735,1,596,12.5,-2.5,12.402,-3.12835,1,0
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.6",0.4,0.6,"N = 1000","Mover",620,0.502,0.038,0.039,0.012,0.234,1,620,25.5,-2.56,25.63175,-3.56009,1,0
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.8",0.4,0.8,"N = 1000","Mover",629,0.569,0.035,0.036,0.03,0.006,1,629,42.25,-2.78,42.239,-1.20084,1,0
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0",0.4,0,"N = 1000","Mover",647,0.399,0.039,0.039,0.002,0.947,1,647,-0.25,0,-0.2215,0.83109,1,1
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_1",0.4,1,"N = 1000","Mover",637,0.629,0.033,0.032,0.054,0,1,637,57.25,3.12,57.26025,1.42635,1,0
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.2",0.3,0.2,"N = 1000","Mover",651,0.314,0.038,0.038,0.002,0.931,1,651,4.67,0,4.71862,-0.34349,1,1
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.4",0.3,0.4,"N = 1000","Mover",665,0.358,0.039,0.038,0.005,0.671,1,665,19.33,2.63,19.38069,2.58262,1,0
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.6",0.3,0.6,"N = 1000","Mover",676,0.425,0.038,0.039,0.017,0.12,1,676,41.67,-2.56,41.68508,-1.91919,1,0
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.8",0.3,0.8,"N = 1000","Mover",612,0.498,0.037,0.036,0.041,0,1,612,66,2.78,66.12655,2.17498,1,0
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0",0.3,0,"N = 1000","Mover",623,0.299,0.038,0.039,0.001,0.952,1,623,-0.33,-2.56,-0.26307,-1.68406,1,1
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_1",0.3,1,"N = 1000","Mover",638,0.57,0.034,0.034,0.074,0,1,638,90,0,90.07418,-0.30801,1,0
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.2",0.2,0.2,"N = 1000","Mover",606,0.214,0.036,0.037,0.002,0.934,1,606,7,-2.7,7.003,-2.57367,1,1
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.4",0.2,0.4,"N = 1000","Mover",646,0.264,0.038,0.038,0.006,0.599,1,646,32,0,31.824,-1.11595,1,0
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.6",0.2,0.6,"N = 1000","Mover",632,0.341,0.039,0.039,0.022,0.052,1,632,70.5,0,70.6875,-0.69273,1,0
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.8",0.2,0.8,"N = 1000","Mover",645,0.431,0.037,0.037,0.055,0,1,645,115.5,0,115.537,0.8974,1,0
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0",0.2,0,"N = 1000","Mover",632,0.198,0.035,0.036,0.001,0.937,1,632,-1,-2.78,-0.855,-1.29366,1,1
