"Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"Model 1","N = 5000","5000",".800",3.179,3,".60, .30, .10","D",499,339,67.9,394,79,3,0.6,458,91.8,499
"Model 2","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.3",499,44,8.8,0,0,0,0,44,8.8,678
"Model 2","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.5",500,46,9.2,0,0,0,0,46,9.2,682
"Model 2","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.7",498,28,5.6,0,0,0,0,28,5.6,653
"Model 2","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.9",499,25,5,0,0,0,0,25,5,650
"Model 2","N = 5000","5000",".800",3.179,1,".10, .30, .60","A",500,29,5.8,0,0,0,0,29,5.8,656
"Model 2","N = 5000","5000",".800",3.179,1,".10, .30, .60","B",500,32,6.4,0,0,0,0,32,6.4,661
"Model 2","N = 5000","5000",".800",3.179,1,".10, .30, .60","C",500,33,6.6,0,0,0,0,33,6.6,662
"Model 2","N = 5000","5000",".800",3.179,1,".10, .30, .60","D",500,32,6.4,0,0,0,0,32,6.4,661
"Model 2","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.3",500,59,11.8,0,0,0,0,59,11.8,703
"Model 2","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.5",500,69,13.8,0,0,0,0,69,13.8,720
"Model 2","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.7",500,95,19,0,0,0,0,95,19,770
"Model 2","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.9",500,115,23,0,0,0,0,115,23,813
"Model 2","N = 5000","5000",".800",3.179,2,".33, .33, .33","A",499,76,15.2,0,0,0,0,76,15.2,732
"Model 2","N = 5000","5000",".800",3.179,2,".33, .33, .33","B",500,78,15.6,0,0,0,0,78,15.6,737
"Model 2","N = 5000","5000",".800",3.179,2,".33, .33, .33","C",500,88,17.6,0,0,0,0,88,17.6,756
"Model 2","N = 5000","5000",".800",3.179,2,".33, .33, .33","D",500,101,20.2,0,0,0,0,101,20.2,782
"Model 2","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.3",500,59,11.8,0,0,0,0,59,11.8,703
"Model 2","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.5",500,67,13.4,0,0,0,0,67,13.4,717
"Model 2","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.7",500,90,18,0,0,0,0,90,18,760
"Model 2","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.9",500,70,14,0,0,0,0,70,14,722
"Model 2","N = 5000","5000",".800",3.179,3,".60, .30, .10","A",499,62,12.4,0,0,0,0,62,12.4,707
"Model 2","N = 5000","5000",".800",3.179,3,".60, .30, .10","B",500,67,13.4,0,0,0,0,67,13.4,717
"Model 2","N = 5000","5000",".800",3.179,3,".60, .30, .10","C",499,88,17.6,0,0,0,0,88,17.6,754
"Model 2","N = 5000","5000",".800",3.179,3,".60, .30, .10","D",500,88,17.6,0,0,0,0,88,17.6,756
"Model 3","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.3",500,123,24.6,2,0.4,0,0,125,25,837
"Model 3","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.5",500,132,26.4,0,0,0,0,132,26.4,854
"Model 3","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.7",500,142,28.4,0,0,0,0,142,28.4,881
"Model 3","N = 5000","5000",".800",3.179,1,".10, .30, .60","0.9",500,187,37.4,0,0,0,0,187,37.4,1024
"Model 3","N = 5000","5000",".800",3.179,1,".10, .30, .60","A",500,131,26.2,1,0.2,0,0,132,26.4,854
"Model 3","N = 5000","5000",".800",3.179,1,".10, .30, .60","B",500,81,16.2,11,2.2,0,0,90,18,760
"Model 3","N = 5000","5000",".800",3.179,1,".10, .30, .60","C",499,288,57.7,250,50.1,9,1.8,389,78,4592
"Model 3","N = 5000","5000",".800",3.179,1,".10, .30, .60","D",499,328,65.7,266,53.3,4,0.8,426,85.4,13917
"Model 3","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.3",500,169,33.8,0,0,0,0,169,33.8,961
"Model 3","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.5",500,199,39.8,0,0,0,0,199,39.8,1072
"Model 3","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.7",500,218,43.6,0,0,0,0,218,43.6,1157
"Model 3","N = 5000","5000",".800",3.179,2,".33, .33, .33","0.9",500,201,40.2,0,0,0,0,201,40.2,1080
"Model 3","N = 5000","5000",".800",3.179,2,".33, .33, .33","A",500,177,35.4,0,0,0,0,177,35.4,988
"Model 3","N = 5000","5000",".800",3.179,2,".33, .33, .33","B",500,102,20.4,0,0,0,0,102,20.4,784
"Model 3","N = 5000","5000",".800",3.179,2,".33, .33, .33","C",500,130,26,25,5,0,0,151,30.2,906
"Model 3","N = 5000","5000",".800",3.179,2,".33, .33, .33","D",500,222,44.4,44,8.8,3,0.6,246,49.2,1312
"Model 3","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.3",500,131,26.2,0,0,0,0,131,26.2,852
"Model 3","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.5",500,173,34.6,0,0,0,0,173,34.6,975
"Model 3","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.7",500,166,33.2,0,0,0,0,166,33.2,952
"Model 3","N = 5000","5000",".800",3.179,3,".60, .30, .10","0.9",500,161,32.2,0,0,0,0,161,32.2,936
"Model 3","N = 5000","5000",".800",3.179,3,".60, .30, .10","A",500,129,25.8,0,0,0,0,129,25.8,847
"Model 3","N = 5000","5000",".800",3.179,3,".60, .30, .10","B",500,114,22.8,0,0,0,0,114,22.8,811
"Model 3","N = 5000","5000",".800",3.179,3,".60, .30, .10","C",500,108,21.6,5,1,1,0.2,112,22.4,806
"Model 3","N = 5000","5000",".800",3.179,3,".60, .30, .10","D",500,235,47,17,3.4,3,0.6,246,49.2,1312
