"Model","N","N_numeric","Population","TPs","Mix","Mixing_proportion","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","Adjusted_Replications_Needed"
"Model 2","N = 2500","2500",".800",3.179,2,".33, .33, .33","C",500,89,17.8,0,0,0,0,89,17.8,758
"Model 2","N = 2500","2500",".800",3.179,2,".33, .33, .33","D",500,86,17.2,0,0,0,0,86,17.2,752
"Model 2","N = 2500","2500",".800",3.179,3,".60, .30, .10","0.3",499,52,10.4,0,0,0,0,52,10.4,690
"Model 2","N = 2500","2500",".800",3.179,3,".60, .30, .10","0.5",500,76,15.2,0,0,0,0,76,15.2,733
"Model 2","N = 2500","2500",".800",3.179,3,".60, .30, .10","0.7",500,88,17.6,0,0,0,0,88,17.6,756
"Model 2","N = 2500","2500",".800",3.179,3,".60, .30, .10","0.9",499,70,14,0,0,0,0,70,14,721
"Model 2","N = 2500","2500",".800",3.179,3,".60, .30, .10","A",500,62,12.4,0,0,0,0,62,12.4,708
"Model 2","N = 2500","2500",".800",3.179,3,".60, .30, .10","B",499,68,13.6,0,0,0,0,68,13.6,717
"Model 2","N = 2500","2500",".800",3.179,3,".60, .30, .10","C",500,74,14.8,0,0,0,0,74,14.8,729
"Model 2","N = 2500","2500",".800",3.179,3,".60, .30, .10","D",500,73,14.6,0,0,0,0,73,14.6,728
"Model 3","N = 2500","2500",".800",3.179,1,".10, .30, .60","0.3",500,125,25,9,1.8,0,0,132,26.4,854
"Model 3","N = 2500","2500",".800",3.179,1,".10, .30, .60","0.5",500,132,26.4,5,1,1,0.2,137,27.4,867
"Model 3","N = 2500","2500",".800",3.179,1,".10, .30, .60","A",500,120,24,11,2.2,0,0,129,25.8,847
"Model 3","N = 2500","2500",".800",3.179,1,".10, .30, .60","B",499,83,16.6,24,4.8,3,0.6,101,20.2,781
"Model 3","N = 2500","2500",".800",3.179,1,".10, .30, .60","C",499,292,58.5,251,50.3,11,2.2,392,78.6,4854
"Model 3","N = 2500","2500",".800",3.179,1,".10, .30, .60","D",500,312,62.4,296,59.2,4,0.8,423,84.6,11419
"Model 3","N = 2500","2500",".800",3.179,2,".33, .33, .33","0.3",500,178,35.6,0,0,1,0.2,179,35.8,995
