FileName,Model,Population,N,Mixing_proportion,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.783,0.065,0.085,0.007,0.972,0.988,500,-2.13,-23.53,1
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.786,0.068,0.074,0.006,0.956,0.998,500,-1.75,-8.11,2
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.783,0.066,0.089,0.008,0.948,0.99,500,-2.13,-25.84,3
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.794,0.064,0.072,0.005,0.946,0.994,500,-0.75,-11.11,4
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.786,0.066,0.089,0.008,0.94,0.992,500,-1.75,-25.84,5
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.785,0.066,0.085,0.008,0.958,0.992,500,-1.88,-22.35,6
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.788,0.064,0.074,0.006,0.954,0.996,500,-1.5,-13.51,7
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.783,0.064,0.087,0.008,0.934,0.992,500,-2.13,-26.44,8
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.782,0.064,0.096,0.01,0.932,0.99,500,-2.25,-33.33,9
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.789,0.063,0.084,0.007,0.94,0.988,500,-1.38,-25,10
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.782,0.063,0.1,0.01,0.944,0.99,500,-2.25,-37,11
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.789,0.062,0.083,0.007,0.944,0.992,500,-1.38,-25.3,12
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.788,0.064,0.074,0.006,0.95,0.996,500,-1.5,-13.51,13
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.789,0.064,0.066,0.005,0.952,1,500,-1.38,-3.03,14
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.787,0.067,0.077,0.006,0.936,0.988,500,-1.63,-12.99,15
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.782,0.065,0.098,0.01,0.936,0.99,500,-2.25,-33.67,16
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.79,0.065,0.066,0.005,0.952,0.996,500,-1.25,-1.52,17
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.784,0.069,0.082,0.007,0.954,0.99,500,-2,-15.85,18
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.785,0.068,0.069,0.005,0.952,0.994,500,-1.88,-1.45,19
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.783,0.064,0.084,0.007,0.952,0.996,500,-2.13,-23.81,20
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.788,0.064,0.09,0.008,0.96,0.992,500,-1.5,-28.89,21
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.791,0.064,0.077,0.006,0.958,0.992,500,-1.13,-16.88,22
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.79,0.064,0.072,0.005,0.954,0.994,500,-1.25,-11.11,23
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.783,0.064,0.097,0.01,0.932,0.99,500,-2.13,-34.02,24
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.783,0.065,0.092,0.009,0.946,0.992,500,-2.13,-29.35,25
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.78,0.065,0.087,0.008,0.956,0.992,500,-2.5,-25.29,26
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.792,0.064,0.067,0.005,0.968,0.992,500,-1,-4.48,27
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.791,0.06,0.062,0.004,0.944,1,500,-1.13,-3.23,28
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.79,0.067,0.074,0.006,0.932,0.994,500,-1.25,-9.46,29
lta_lta_m1_n_500_tp_3.179_m_3,Model 1,0.8,N = 500,".60, .30, .10",500,0.787,0.064,0.086,0.008,0.96,0.99,500,-1.63,-25.58,30
