FileName,Model,Population,N,Mixing_proportion,group_size,average,average_SE,population_sd,MSE,Coverage,Power,Reps_Used,Parameter_Bias_boot,SE_Bias_boot,Bootstrap_Iteration
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.795,0.081,0.078,0.006,0.942,1,500,-0.63,3.85,1
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.792,0.082,0.076,0.006,0.94,1,500,-1,7.89,2
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.793,0.081,0.076,0.006,0.95,1,500,-0.88,6.58,3
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.792,0.084,0.075,0.006,0.948,1,500,-1,12,4
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.785,0.082,0.077,0.006,0.94,1,500,-1.88,6.49,5
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.791,0.082,0.075,0.006,0.944,1,500,-1.13,9.33,6
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.785,0.083,0.08,0.007,0.936,1,500,-1.88,3.75,7
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.791,0.082,0.076,0.006,0.95,1,500,-1.13,7.89,8
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.786,0.082,0.074,0.006,0.948,1,500,-1.75,10.81,9
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.786,0.082,0.074,0.006,0.946,1,500,-1.75,10.81,10
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.794,0.081,0.077,0.006,0.936,1,500,-0.75,5.19,11
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.79,0.082,0.075,0.006,0.938,1,500,-1.25,9.33,12
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.795,0.082,0.077,0.006,0.952,1,500,-0.63,6.49,13
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.792,0.082,0.078,0.006,0.94,1,500,-1,5.13,14
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.794,0.082,0.071,0.005,0.96,1,500,-0.75,15.49,15
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.795,0.081,0.079,0.006,0.932,1,500,-0.63,2.53,16
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.79,0.083,0.075,0.006,0.952,1,500,-1.25,10.67,17
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.796,0.082,0.077,0.006,0.94,1,500,-0.5,6.49,18
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.792,0.083,0.078,0.006,0.95,1,500,-1,6.41,19
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.787,0.082,0.076,0.006,0.948,1,500,-1.63,7.89,20
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.795,0.082,0.079,0.006,0.942,1,500,-0.63,3.8,21
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.79,0.083,0.082,0.007,0.924,1,500,-1.25,1.22,22
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.79,0.082,0.074,0.006,0.952,1,500,-1.25,10.81,23
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.799,0.082,0.08,0.006,0.936,1,500,-0.13,2.5,24
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.792,0.081,0.073,0.005,0.952,1,500,-1,10.96,25
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.789,0.082,0.072,0.005,0.942,1,500,-1.38,13.89,26
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.791,0.082,0.075,0.006,0.938,1,500,-1.13,9.33,27
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.787,0.082,0.076,0.006,0.964,1,500,-1.63,7.89,28
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.781,0.083,0.079,0.007,0.938,1,500,-2.38,5.06,29
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.791,0.082,0.079,0.006,0.926,1,500,-1.13,3.8,30
lta_lta_m1_n_2500_tp_3.179_m_1,Model 1,0.8,N = 2500,".10, .30, .60",500,0.791,0.083,0.075,0.006,0.944,1,500,-1.13,10.67,31
