"FileName","Population","TPs","Lambda","N","N_numeric","Total_Rows","Total_Violations","Total_True_Violations","True_Violation_Perc","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0",".400",-0.41,0,"N = 500","500",500,146,146,29.2,29.2,0,0,0,0,354,"Yes",892
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0",".300",-0.85,0,"N = 500","500",500,133,133,26.6,26.6,0,0,0,0,367,"Yes",857
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0",".200",-1.385,0,"N = 500","500",500,136,136,27.2,27.2,0,0,0,0,364,"Yes",865
"rilta_lta_n_500_tp_0.41_th_1_lambda_0",".600",0.41,0,"N = 500","500",500,125,125,25,25,0,0,0,0,375,"Yes",837
"rilta_lta_n_500_tp_0.85_th_1_lambda_0",".700",0.85,0,"N = 500","500",500,126,126,25.2,25.2,0,0,0,0,374,"Yes",839
"rilta_lta_n_500_tp_1.385_th_1_lambda_0",".800",1.385,0,"N = 500","500",500,150,150,30,30,0,0,0,0,350,"Yes",903
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.2",".400",-0.41,0.2,"N = 500","500",500,127,127,25.4,25.4,0,0,0,0,373,"Yes",842
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.2",".300",-0.85,0.2,"N = 500","500",500,129,129,25.8,25.8,0,0,0,0,371,"Yes",847
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.2",".200",-1.385,0.2,"N = 500","500",500,130,130,26,26,0,0,0,0,370,"Yes",849
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.2",".600",0.41,0.2,"N = 500","500",500,121,121,24.2,24.2,0,0,0,0,379,"Yes",827
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.2",".700",0.85,0.2,"N = 500","500",500,143,143,28.6,28.6,0,0,0,0,357,"Yes",883
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.2",".800",1.385,0.2,"N = 500","500",500,128,128,25.6,25.6,0,0,0,0,372,"Yes",844
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.4",".400",-0.41,0.4,"N = 500","500",500,123,123,24.6,24.6,0,0,0,0,377,"Yes",832
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.4",".300",-0.85,0.4,"N = 500","500",500,126,126,25.2,25.2,0,0,0,0,374,"Yes",839
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.4",".200",-1.385,0.4,"N = 500","500",500,146,146,29.2,29.2,0,0,0,0,354,"Yes",892
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.4",".600",0.41,0.4,"N = 500","500",500,122,122,24.4,24.4,0,0,0,0,378,"Yes",829
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.4",".700",0.85,0.4,"N = 500","500",500,120,120,24,24,0,0,0,0,380,"Yes",825
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.4",".800",1.385,0.4,"N = 500","500",500,110,110,22,22,0,0,0,0,390,"Yes",802
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.6",".400",-0.41,0.6,"N = 500","500",500,144,144,28.8,28.8,0,0,0,0,356,"Yes",886
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.6",".300",-0.85,0.6,"N = 500","500",500,150,150,30,30,0,0,0,0,350,"Yes",903
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.6",".200",-1.385,0.6,"N = 500","500",500,147,147,29.4,29.4,0,0,0,0,353,"Yes",894
"rilta_lta_n_500_tp_0.41_th_1_lambda_0.6",".600",0.41,0.6,"N = 500","500",500,178,178,35.6,35.6,0,0,0,0,322,"Yes",992
"rilta_lta_n_500_tp_0.85_th_1_lambda_0.6",".700",0.85,0.6,"N = 500","500",500,132,132,26.4,26.4,0,0,0,0,368,"Yes",854
"rilta_lta_n_500_tp_1.385_th_1_lambda_0.6",".800",1.385,0.6,"N = 500","500",500,140,140,28,28,0,0,0,0,360,"Yes",875
"rilta_lta_n_500_tp_-0.41_th_1_lambda_0.8",".400",-0.41,0.8,"N = 500","500",500,165,165,33,33,0,0,0,0,335,"Yes",948
"rilta_lta_n_500_tp_-0.85_th_1_lambda_0.8",".300",-0.85,0.8,"N = 500","500",500,163,163,32.6,32.6,0,0,0,0,337,"Yes",942
"rilta_lta_n_500_tp_-1.385_th_1_lambda_0.8",".200",-1.385,0.8,"N = 500","500",500,168,168,33.6,33.6,0,0,0,0,332,"Yes",958
