"FileName","Population","TPs","N","N_numeric","Lambda","Total_Rows","Total_Violations","Percentage_Violations","Total_Errors","ErrorRate","Total_LL_Failures","LL_Failure_Perc","Total_True_Violations","True_Violation_Perc","GoodReplications","Reanalysis_Needed","Adjusted_Replications_Needed"
"rilta_lta_n_500_tp_0.85_th_1_lambda_1",".700",0.85,"N = 500","500","1",1021,381,37.3,0,0,0,0,381,37.3,640,"No",848
"rilta_lta_n_500_tp_1.385_th_1_lambda_1",".800",1.385,"N = 500","500","1",965,370,38.3,0,0,0,0,370,38.3,595,"No",861
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0",".200",-1.385,"N = 1000","1000","0",867,298,34.4,0,0,0,0,298,34.4,569,"No",813
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0",".300",-0.85,"N = 1000","1000","0",829,272,32.8,0,0,0,0,272,32.8,557,"No",795
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0",".400",-0.41,"N = 1000","1000","0",822,285,34.7,0,0,0,0,285,34.7,537,"No",816
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0",".600",0.41,"N = 1000","1000","0",844,288,34.1,0,0,0,0,288,34.1,556,"No",809
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0",".700",0.85,"N = 1000","1000","0",844,249,29.5,0,0,0,0,249,29.5,595,"No",760
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0",".800",1.385,"N = 1000","1000","0",875,304,34.7,0,0,0,0,304,34.7,571,"No",816
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.2",".200",-1.385,"N = 1000","1000","0.2",875,300,34.3,0,0,0,0,300,34.3,575,"No",812
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.2",".300",-0.85,"N = 1000","1000","0.2",813,249,30.6,0,0,0,0,249,30.6,564,"No",771
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.2",".400",-0.41,"N = 1000","1000","0.2",809,269,33.3,0,0,0,0,269,33.3,540,"No",800
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.2",".600",0.41,"N = 1000","1000","0.2",849,288,33.9,0,0,0,0,288,33.9,561,"No",807
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.2",".700",0.85,"N = 1000","1000","0.2",827,258,31.2,0,0,0,0,258,31.2,569,"No",777
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.2",".800",1.385,"N = 1000","1000","0.2",878,288,32.8,0,0,0,0,288,32.8,590,"No",795
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.4",".200",-1.385,"N = 1000","1000","0.4",870,329,37.8,0,0,0,0,329,37.8,541,"No",854
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.4",".300",-0.85,"N = 1000","1000","0.4",800,311,38.9,0,0,0,0,311,38.9,489,"Yes",869
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.4",".400",-0.41,"N = 1000","1000","0.4",839,308,36.7,0,0,0,0,308,36.7,531,"No",840
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.4",".600",0.41,"N = 1000","1000","0.4",872,284,32.6,0,0,0,0,284,32.6,588,"No",792
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.4",".700",0.85,"N = 1000","1000","0.4",852,290,34,0,0,0,0,290,34,562,"No",808
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.4",".800",1.385,"N = 1000","1000","0.4",878,293,33.4,0,0,0,0,293,33.4,585,"No",801
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.6",".200",-1.385,"N = 1000","1000","0.6",927,370,39.9,0,0,0,0,370,39.9,557,"No",882
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.6",".300",-0.85,"N = 1000","1000","0.6",930,355,38.2,0,0,0,0,355,38.2,575,"No",860
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.6",".400",-0.41,"N = 1000","1000","0.6",927,360,38.8,0,0,0,0,360,38.8,567,"No",867
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.6",".600",0.41,"N = 1000","1000","0.6",942,379,40.2,0,0,0,0,379,40.2,563,"No",887
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.6",".700",0.85,"N = 1000","1000","0.6",897,354,39.5,0,0,0,0,354,39.5,543,"No",877
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.6",".800",1.385,"N = 1000","1000","0.6",921,334,36.3,0,0,0,0,334,36.3,587,"No",835
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_0.8",".200",-1.385,"N = 1000","1000","0.8",886,370,41.8,0,0,0,0,370,41.8,516,"No",910
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_0.8",".300",-0.85,"N = 1000","1000","0.8",942,371,39.4,0,0,0,0,371,39.4,571,"No",876
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_0.8",".400",-0.41,"N = 1000","1000","0.8",999,385,38.5,0,0,0,0,385,38.5,614,"No",864
"rilta_lta_n_1000_tp_0.41_th_1_lambda_0.8",".600",0.41,"N = 1000","1000","0.8",1048,406,38.7,0,0,0,0,406,38.7,642,"No",866
"rilta_lta_n_1000_tp_0.85_th_1_lambda_0.8",".700",0.85,"N = 1000","1000","0.8",1017,397,39,0,0,0,0,397,39,620,"No",870
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.8",".800",1.385,"N = 1000","1000","0.8",897,343,38.2,0,0,0,0,343,38.2,554,"No",860
"rilta_lta_n_1000_tp_-1.385_th_1_lambda_1",".200",-1.385,"N = 1000","1000","1",921,401,43.5,0,0,0,0,401,43.5,520,"No",935
"rilta_lta_n_1000_tp_-0.85_th_1_lambda_1",".300",-0.85,"N = 1000","1000","1",900,353,39.2,0,0,0,0,353,39.2,547,"No",873
"rilta_lta_n_1000_tp_-0.41_th_1_lambda_1",".400",-0.41,"N = 1000","1000","1",921,351,38.1,0,0,0,0,351,38.1,570,"No",858
"rilta_lta_n_1000_tp_0.41_th_1_lambda_1",".600",0.41,"N = 1000","1000","1",981,379,38.6,0,0,0,0,379,38.6,602,"No",865
"rilta_lta_n_1000_tp_0.85_th_1_lambda_1",".700",0.85,"N = 1000","1000","1",988,379,38.4,0,0,1,0.1,380,38.5,608,"No",864
"rilta_lta_n_1000_tp_1.385_th_1_lambda_1",".800",1.385,"N = 1000","1000","1",918,363,39.5,0,0,0,0,363,39.5,555,"No",877
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0",".200",-1.385,"N = 2000","2000","0",857,285,33.3,0,0,0,0,285,33.3,572,"No",800
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0",".300",-0.85,"N = 2000","2000","0",804,230,28.6,0,0,0,0,230,28.6,574,"No",751
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0",".400",-0.41,"N = 2000","2000","0",849,256,30.2,0,0,0,0,256,30.2,593,"No",767
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0",".600",0.41,"N = 2000","2000","0",832,263,31.6,0,0,0,0,263,31.6,569,"No",781
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0",".700",0.85,"N = 2000","2000","0",789,290,36.8,0,0,0,0,290,36.8,499,"Yes",842
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0",".800",1.385,"N = 2000","2000","0",806,286,35.5,0,0,0,0,286,35.5,520,"No",826
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.2",".200",-1.385,"N = 2000","2000","0.2",878,313,35.6,0,0,0,0,313,35.6,565,"No",827
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.2",".300",-0.85,"N = 2000","2000","0.2",806,252,31.3,0,0,0,0,252,31.3,554,"No",778
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.2",".400",-0.41,"N = 2000","2000","0.2",797,247,31,0,0,0,0,247,31,550,"No",775
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.2",".600",0.41,"N = 2000","2000","0.2",847,267,31.5,0,0,0,0,267,31.5,580,"No",780
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.2",".700",0.85,"N = 2000","2000","0.2",797,261,32.7,0,0,0,0,261,32.7,536,"No",793
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.2",".800",1.385,"N = 2000","2000","0.2",849,285,33.6,0,0,0,0,285,33.6,564,"No",804
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.4",".200",-1.385,"N = 2000","2000","0.4",958,346,36.1,0,0,0,0,346,36.1,612,"No",833
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.4",".300",-0.85,"N = 2000","2000","0.4",834,308,36.9,0,0,0,0,308,36.9,526,"No",843
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.4",".400",-0.41,"N = 2000","2000","0.4",837,277,33.1,0,0,0,0,277,33.1,560,"No",798
"rilta_lta_n_2000_tp_0.41_th_1_lambda_0.4",".600",0.41,"N = 2000","2000","0.4",820,255,31.1,0,0,0,0,255,31.1,565,"No",776
"rilta_lta_n_2000_tp_0.85_th_1_lambda_0.4",".700",0.85,"N = 2000","2000","0.4",859,233,27.1,0,0,0,0,233,27.1,626,"No",736
"rilta_lta_n_2000_tp_1.385_th_1_lambda_0.4",".800",1.385,"N = 2000","2000","0.4",815,248,30.4,0,0,0,0,248,30.4,567,"No",769
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.6",".200",-1.385,"N = 2000","2000","0.6",906,337,37.2,0,0,0,0,337,37.2,569,"No",847
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.6",".300",-0.85,"N = 2000","2000","0.6",912,348,38.2,0,0,0,0,348,38.2,564,"No",860
