Model,Population,N,Mixing_proportion,Lambda,average,Parameter_Bias,SE_Bias,Power,Coverage
Model 2,0.2,N = 500,".60, .30, .10",0.9,0.237725,18.8625,-39.74319,0.998484,0.869876
Model 2,0.2,N = 500,".60, .30, .10",A,0.204814,2.407,-42.47275,1,0.913744
Model 2,0.2,N = 500,".60, .30, .10",B,0.208808,4.404,-50.54903,1,0.9043760000000001
Model 2,0.2,N = 500,".60, .30, .10",C,0.207266,3.633,-47.76467,1,0.905394
Model 2,0.2,N = 500,".60, .30, .10",D,0.207875,3.9375,-49.52237,1,0.904186
Model 2,0.2,N = 5000,".10, .30, .60",0.3,0.213757,6.8785,-27.81199,1,0.924874
Model 2,0.2,N = 5000,".10, .30, .60",0.5,0.243549,21.7745,-47.74573,1,0.759518
Model 2,0.2,N = 5000,".10, .30, .60",0.7,0.292394,46.197,-26.32296,1,0.20779
Model 2,0.2,N = 5000,".10, .30, .60",0.9,0.422456,111.228,-11.51731,0.99348,0.042122
Model 2,0.2,N = 5000,".10, .30, .60",A,0.209006,4.503,-34.64455,1,0.93508
Model 2,0.2,N = 5000,".10, .30, .60",B,0.212318,6.159,-14.6695,1,0.9250160000000001
Model 2,0.2,N = 5000,".10, .30, .60",C,0.219032,9.516,-38.0991,1,0.898532
Model 2,0.2,N = 5000,".10, .30, .60",D,0.221176,10.588,-44.89112,1,0.902718
Model 2,0.2,N = 5000,".33, .33, .33",0.3,0.21110099999999998,5.5505,-67.23333,1,0.92701
Model 2,0.2,N = 5000,".33, .33, .33",0.5,0.22359500000000002,11.7975,-69.48273999999999,1,0.77893
Model 2,0.2,N = 5000,".33, .33, .33",0.7,0.245314,22.657,-63.47497,1,0.31792
Model 2,0.2,N = 5000,".33, .33, .33",0.9,0.298106,49.053,-46.04312,1,0.01568
Model 2,0.2,N = 5000,".33, .33, .33",A,0.205055,2.5275,-58.66877,1,0.9416059999999999
Model 2,0.2,N = 5000,".33, .33, .33",B,0.207846,3.923,-61.00078,1,0.931352
Model 2,0.2,N = 5000,".33, .33, .33",C,0.209926,4.963,-65.60008,1,0.932076
Model 2,0.2,N = 5000,".33, .33, .33",D,0.210777,5.3885,-68.05458,1,0.935736
Model 2,0.2,N = 5000,".60, .30, .10",0.3,0.219472,9.736,-85.74155999999999,1,0.889826
Model 2,0.2,N = 5000,".60, .30, .10",0.5,0.218685,9.3425,-83.17504,1,0.88276
Model 2,0.2,N = 5000,".60, .30, .10",0.7,0.223529,11.7645,-79.29275,1,0.726488
Model 2,0.2,N = 5000,".60, .30, .10",0.9,0.232349,16.1745,-63.15178,1,0.317478
Model 2,0.2,N = 5000,".60, .30, .10",A,0.21165399999999998,5.827,-81.78724,1,0.916876
Model 2,0.2,N = 5000,".60, .30, .10",B,0.214236,7.118,-82.53559,1,0.9052520000000001
Model 2,0.2,N = 5000,".60, .30, .10",C,0.213549,6.7745,-80.80222,1,0.909114
Model 2,0.2,N = 5000,".60, .30, .10",D,0.210124,5.062,-76.40115,1,0.907964
Model 2,0.8,N = 1000,".10, .30, .60",0.3,0.8008820000000001,0.11075,-16.58605,1,0.920436
Model 2,0.8,N = 1000,".10, .30, .60",0.5,0.799555,-0.05588,-27.58531,1,0.890072
Model 2,0.8,N = 1000,".10, .30, .60",0.7,0.819538,2.43999,-26.96673,1,0.887166
Model 2,0.8,N = 1000,".10, .30, .60",0.9,0.838519,4.81247,-44.23374,1,0.739368
Model 2,0.8,N = 1000,".10, .30, .60",A,0.8006540000000001,0.08211,-16.33567,1,0.913402
Model 2,0.8,N = 1000,".10, .30, .60",B,0.8091590000000001,1.14633,-23.87959,1,0.885884
Model 2,0.8,N = 1000,".10, .30, .60",C,0.822275,2.78179,-19.73989,1,0.876078
Model 2,0.8,N = 1000,".10, .30, .60",D,0.835397,4.42206,-17.92296,1,0.8572919999999999
Model 2,0.8,N = 1000,".33, .33, .33",0.3,0.790216,-1.22533,-52.70334,1,0.898958
Model 2,0.8,N = 1000,".33, .33, .33",0.5,0.7914640000000001,-1.0695299999999999,-53.0644,1,0.887456
Model 2,0.8,N = 1000,".33, .33, .33",0.7,0.800945,0.11882,-54.66385,1,0.867414
Model 2,0.8,N = 1000,".33, .33, .33",0.9,0.822229,2.77615,-49.18016,1,0.78894
Model 2,0.8,N = 1000,".33, .33, .33",A,0.7902220000000001,-1.22488,-53.99402,1,0.88956
Model 2,0.8,N = 1000,".33, .33, .33",B,0.799594,-0.05116,-49.58758,1,0.8992680000000001
Model 2,0.8,N = 1000,".33, .33, .33",C,0.800054,0.006860000000000001,-56.70735,1,0.867176
Model 2,0.8,N = 1000,".33, .33, .33",D,0.804497,0.56419,-54.79565,1,0.858298
Model 2,0.8,N = 1000,".60, .30, .10",0.3,0.780495,-2.44082,-67.33559,1,0.9010480000000001
Model 2,0.8,N = 1000,".60, .30, .10",0.5,0.783618,-2.0502599999999997,-61.57341,1,0.9006540000000001
Model 2,0.8,N = 1000,".60, .30, .10",0.7,0.781348,-2.33398,-60.41285,1,0.897686
Model 2,0.8,N = 1000,".60, .30, .10",0.9,0.787867,-1.51912,-56.44231,1,0.9057000000000001
Model 2,0.8,N = 1000,".60, .30, .10",A,0.783794,-2.02818,-68.43861,1,0.9009940000000001
Model 2,0.8,N = 1000,".60, .30, .10",B,0.792348,-0.95909,-64.47377,1,0.893008
Model 2,0.8,N = 1000,".60, .30, .10",C,0.796394,-0.45286,-63.02053,1,0.883744
Model 2,0.8,N = 1000,".60, .30, .10",D,0.79398,-0.75488,-66.15817,1,0.876336
Model 2,0.8,N = 2500,".10, .30, .60",0.3,0.801065,0.13395,-34.78054,1,0.935524
Model 2,0.8,N = 2500,".10, .30, .60",0.5,0.807482,0.93728,-39.50928,1,0.900292
Model 2,0.8,N = 2500,".10, .30, .60",0.7,0.813016,1.6262400000000001,-57.29251,1,0.787782
Model 2,0.8,N = 2500,".10, .30, .60",0.9,0.849443,6.17786,-56.12256,1,0.537984
Model 2,0.8,N = 2500,".10, .30, .60",A,0.802753,0.34592,-27.33077,1,0.938218
Model 2,0.8,N = 2500,".10, .30, .60",B,0.812306,1.53804,-38.65069,1,0.883372
Model 2,0.8,N = 2500,".10, .30, .60",C,0.824627,3.07585,-42.1898,1,0.80800400000000006
Model 2,0.8,N = 2500,".10, .30, .60",D,0.834013,4.24913,-45.67947,1,0.739644
Model 2,0.8,N = 2500,".33, .33, .33",0.3,0.7858850000000001,-1.76688,-70.20569,1,0.9076580000000001
Model 2,0.8,N = 2500,".33, .33, .33",0.5,0.793189,-0.85383,-67.72571,1,0.914238
Model 2,0.8,N = 2500,".33, .33, .33",0.7,0.804836,0.60684,-66.10479,1,0.852916
Model 2,0.8,N = 2500,".33, .33, .33",0.9,0.8182579999999999,2.27985,-69.05651,1,0.63737
Model 2,0.8,N = 2500,".33, .33, .33",A,0.7847120000000001,-1.91351,-73.5166,1,0.885184
Model 2,0.8,N = 2500,".33, .33, .33",B,0.789934,-1.26066,-74.9305,1,0.871596
Model 2,0.8,N = 2500,".33, .33, .33",C,0.7987690000000001,-0.15456,-71.17672,1,0.830518
Model 2,0.8,N = 2500,".33, .33, .33",D,0.8064110000000001,0.80372999999999994,-68.01918,1,0.818962
Model 2,0.8,N = 2500,".60, .30, .10",0.3,0.77932,-2.5876,-78.78563,1,0.89074
Model 2,0.8,N = 2500,".60, .30, .10",0.5,0.7805150000000001,-2.43815,-76.98442,1,0.8933300000000001
Model 2,0.8,N = 2500,".60, .30, .10",0.7,0.778379,-2.70515,-76.67336,1,0.8896660000000001
Model 2,0.8,N = 2500,".60, .30, .10",0.9,0.7832990000000001,-2.09007,-74.12891,1,0.887126
Model 2,0.8,N = 2500,".60, .30, .10",A,0.782069,-2.2438599999999997,-80.87114,1,0.890062
Model 2,0.8,N = 2500,".60, .30, .10",B,0.7901870000000001,-1.22911,-78.84146,1,0.873166
Model 2,0.8,N = 2500,".60, .30, .10",C,0.789763,-1.28216,-79.61328,1,0.850268
Model 2,0.8,N = 2500,".60, .30, .10",D,0.7942910000000001,-0.71604,-77.32751,1,0.850312
Model 2,0.8,N = 500,".10, .30, .60",0.3,0.7929780000000001,-0.8800399999999999,-5.4703800000000005,0.998402,0.908066
Model 2,0.8,N = 500,".10, .30, .60",0.5,0.80147,0.18439,-4.89994,0.998326,0.902648
Model 2,0.8,N = 500,".10, .30, .60",0.7,0.8085990000000001,1.07606,-9.84092,0.996828,0.885476
Model 2,0.8,N = 500,".10, .30, .60",0.9,0.824062,3.00527,-22.37379,0.998444,0.832364
Model 2,0.8,N = 500,".10, .30, .60",A,0.787402,-1.5772599999999999,-9.05119,1,0.898324
Model 2,0.8,N = 500,".10, .30, .60",B,0.8010440000000001,0.13108,-10.32536,1,0.903386
Model 2,0.8,N = 500,".10, .30, .60",C,0.8096530000000001,1.20748,-12.1458,1,0.880678
Model 2,0.8,N = 500,".10, .30, .60",D,0.8232849999999999,2.90807,-10.66605,1,0.8648939999999999
Model 2,0.8,N = 500,".33, .33, .33",0.3,0.7913060000000001,-1.08932,-40.49592,1,0.886972
Model 2,0.8,N = 500,".33, .33, .33",0.5,0.793035,-0.87297,-38.69077,1,0.902502
Model 2,0.8,N = 500,".33, .33, .33",0.7,0.793636,-0.79782,-46.47039,1,0.879842
Model 2,0.8,N = 500,".33, .33, .33",0.9,0.8085260000000001,1.06726,-48.0932,1,0.825768
Model 2,0.8,N = 500,".33, .33, .33",A,0.7960740000000001,-0.493,-27.87228,1,0.92106
Model 2,0.8,N = 500,".33, .33, .33",B,0.7989390000000001,-0.13316,-40.79307,1,0.885528
Model 2,0.8,N = 500,".33, .33, .33",C,0.806181,0.77483,-32.6675,1,0.894804
Model 2,0.8,N = 500,".33, .33, .33",D,0.805798,0.72661,-43.32479,1,0.859852
Model 2,0.8,N = 500,".60, .30, .10",0.3,0.7858970000000001,-1.7653299999999998,-47.77027,1,0.9176500000000001
Model 2,0.8,N = 500,".60, .30, .10",0.5,0.788467,-1.44406,-40.14061,1,0.916258
Model 2,0.8,N = 500,".60, .30, .10",0.7,0.781037,-2.37282,-47.81516,1,0.8894380000000001
Model 2,0.8,N = 500,".60, .30, .10",0.9,0.781493,-2.3157799999999997,-47.40339,1,0.8828320000000001
Model 2,0.8,N = 500,".60, .30, .10",A,0.788031,-1.4985199999999999,-53.35077,1,0.899962
Model 2,0.8,N = 500,".60, .30, .10",B,0.791315,-1.08806,-53.54992,1,0.897962
Model 2,0.8,N = 500,".60, .30, .10",C,0.797343,-0.33372,-49.90632,1,0.91127
Model 2,0.8,N = 500,".60, .30, .10",D,0.803224,0.40489000000000003,-41.85353,1,0.917498
Model 2,0.8,N = 5000,".10, .30, .60",0.3,0.7966620000000001,-0.41924,-52.18891,1,0.91276
Model 2,0.8,N = 5000,".10, .30, .60",0.5,0.7920010000000001,-1.00234,-68.07947,1,0.83462
Model 2,0.8,N = 5000,".10, .30, .60",0.7,0.808983,1.12412,-70.81413,1,0.70818
Model 2,0.8,N = 5000,".10, .30, .60",0.9,0.8483649999999999,6.04318,-69.80176,1,0.301968
Model 2,0.8,N = 5000,".10, .30, .60",A,0.798892,-0.13937,-47.699130000000004,1,0.91961
Model 2,0.8,N = 5000,".10, .30, .60",B,0.806166,0.77318,-57.93936,1,0.87832
Model 2,0.8,N = 5000,".10, .30, .60",C,0.8238629999999999,2.98033,-49.651,1,0.78527
Model 2,0.8,N = 5000,".10, .30, .60",D,0.834085,4.2583,-56.78134,1,0.634734
Model 2,0.8,N = 5000,".33, .33, .33",0.3,0.7886070000000001,-1.4264999999999999,-77.46576,1,0.9155960000000001
Model 2,0.8,N = 5000,".33, .33, .33",0.5,0.7881870000000001,-1.47912,-80.33142,1,0.865784
Model 2,0.8,N = 5000,".33, .33, .33",0.7,0.79605,-0.49579,-81.10581,1,0.75803
Model 2,0.8,N = 5000,".33, .33, .33",0.9,0.813067,1.63288,-81.19762,1,0.394276
Model 2,0.8,N = 5000,".33, .33, .33",A,0.7856190000000001,-1.80016,-79.94484,1,0.8958320000000001
Model 2,0.8,N = 5000,".33, .33, .33",B,0.791987,-1.00429,-79.90049,1,0.8570679999999999
Model 2,0.8,N = 5000,".33, .33, .33",C,0.80015,0.01873,-78.72274,1,0.794558
Model 2,0.8,N = 5000,".33, .33, .33",D,0.806073,0.76134,-77.31796,1,0.733244
Model 2,0.8,N = 5000,".60, .30, .10",0.3,0.780687,-2.41641,-85.65397,1,0.89209
Model 2,0.8,N = 5000,".60, .30, .10",0.5,0.786904,-1.63964,-78.41611,1,0.9043640000000001
Model 2,0.8,N = 5000,".60, .30, .10",0.7,0.7821910000000001,-2.2286,-81.71337,1,0.866044
Model 2,0.8,N = 5000,".60, .30, .10",0.9,0.7827040000000001,-2.16456,-81.82797,1,0.885474
Model 2,0.8,N = 5000,".60, .30, .10",A,0.7789510000000001,-2.63349,-87.40948,1,0.886674
Model 2,0.8,N = 5000,".60, .30, .10",B,0.787023,-1.62449,-86.18622,1,0.860252
Model 2,0.8,N = 5000,".60, .30, .10",C,0.780923,-2.38699,-88.49232,1,0.784912
Model 2,0.8,N = 5000,".60, .30, .10",D,0.790385,-1.20425,-86.59475,1,0.767848
Model 3,0.2,N = 1000,".10, .30, .60",0.3,0.26912600000000003,34.563,3.07481,0.702405,0.877036
Model 3,0.2,N = 1000,".10, .30, .60",0.5,0.32816500000000004,64.0825,2.10364,0.7887500000000001,0.759256
Model 3,0.2,N = 1000,".10, .30, .60",0.7,0.402582,101.291,4.55117,0.883936,0.50379
Model 3,0.2,N = 1000,".10, .30, .60",0.9,0.499265,149.6325,1.37915,0.9594579999999999,0.183436
Model 3,0.2,N = 1000,".10, .30, .60",A,0.291611,45.8055,3.8132,0.698353,0.835768
Model 3,0.2,N = 1000,".10, .30, .60",B,0.261723,30.8615,8.10983,0.587619,0.889116
Model 3,0.2,N = 1000,".10, .30, .60",C,0.277913,38.9565,8.31066,0.571947,0.8595579999999999
Model 3,0.2,N = 1000,".10, .30, .60",D,0.298803,49.4015,5.61156,0.5778909999999999,0.83829
Model 3,0.2,N = 1000,".33, .33, .33",0.3,0.242952,21.476,13.6824,0.970444,0.915714
Model 3,0.2,N = 1000,".33, .33, .33",0.5,0.278449,39.2245,12.76413,0.975606,0.7872600000000001
Model 3,0.2,N = 1000,".33, .33, .33",0.7,0.323337,61.6685,9.03834,0.977098,0.530728
Model 3,0.2,N = 1000,".33, .33, .33",0.9,0.377339,88.6695,7.24132,0.97024,0.318368
Model 3,0.2,N = 1000,".33, .33, .33",A,0.254613,27.3065,4.51729,0.9593079999999999,0.856386
Model 3,0.2,N = 1000,".33, .33, .33",B,0.233271,16.6355,8.01929,0.9718519999999999,0.933624
Model 3,0.2,N = 1000,".33, .33, .33",C,0.24226899999999998,21.1345,5.23195,0.941632,0.9219040000000001
Model 3,0.2,N = 1000,".33, .33, .33",D,0.250583,25.2915,-4.86265,0.9210440000000001,0.889524
Model 3,0.2,N = 1000,".60, .30, .10",0.3,0.224089,12.0445,6.11902,1,0.915026
Model 3,0.2,N = 1000,".60, .30, .10",0.5,0.245802,22.901,12.21782,1,0.80231
Model 3,0.2,N = 1000,".60, .30, .10",0.7,0.27527500000000005,37.6375,16.79357,1,0.59963
Model 3,0.2,N = 1000,".60, .30, .10",0.9,0.307244,53.622,16.22506,0.9922,0.380238
Model 3,0.2,N = 1000,".60, .30, .10",A,0.22459300000000001,12.2965,7.96136,1,0.91322
Model 3,0.2,N = 1000,".60, .30, .10",B,0.218501,9.2505,7.65982,1,0.9257420000000001
Model 3,0.2,N = 1000,".60, .30, .10",C,0.225434,12.717,8.40751,1,0.904084
Model 3,0.2,N = 1000,".60, .30, .10",D,0.227294,13.647,8.67267,0.997162,0.8936080000000001
Model 3,0.2,N = 2500,".10, .30, .60",0.3,0.251018,25.509,-1.81159,0.940882,0.87434
Model 3,0.2,N = 2500,".10, .30, .60",0.5,0.311754,55.877,0.33470999999999995,0.981022,0.623552
Model 3,0.2,N = 2500,".10, .30, .60",0.7,0.400304,100.152,2.25744,0.978738,0.299322
Model 3,0.2,N = 2500,".10, .30, .60",0.9,0.512707,156.3535,4.94219,0.99532,0.028098
Model 3,0.2,N = 2500,".10, .30, .60",A,0.280516,40.258,-0.24040000000000003,0.9594619999999999,0.755104
Model 3,0.2,N = 2500,".10, .30, .60",B,0.249206,24.603,-0.54188,0.9141,0.877794
Model 3,0.2,N = 2500,".10, .30, .60",C,0.271166,35.583,-2.25197,0.911598,0.815526
Model 3,0.2,N = 2500,".10, .30, .60",D,0.285908,42.954,-3.63188,0.8952330000000001,0.7929780000000001
Model 3,0.2,N = 2500,".33, .33, .33",0.3,0.234216,17.108,4.96946,1,0.87875
Model 3,0.2,N = 2500,".33, .33, .33",0.5,0.27117,35.585,-2.77222,1,0.632528
Model 3,0.2,N = 2500,".33, .33, .33",0.7,0.31941,59.705,3.29304,0.996914,0.30965
Model 3,0.2,N = 2500,".33, .33, .33",0.9,0.381315,90.6575,3.2595,0.998464,0.130084
Model 3,0.2,N = 2500,".33, .33, .33",A,0.249025,24.5125,2.4374,1,0.772316
Model 3,0.2,N = 2500,".33, .33, .33",B,0.224349,12.1745,10.12098,1,0.916432
Model 3,0.2,N = 2500,".33, .33, .33",C,0.233843,16.9215,9.68817,1,0.886792
Model 3,0.2,N = 2500,".33, .33, .33",D,0.23940799999999998,19.704,3.08711,1,0.870488
Model 3,0.2,N = 2500,".60, .30, .10",0.3,0.220102,10.051,5.6804,1,0.870754
Model 3,0.2,N = 2500,".60, .30, .10",0.5,0.243759,21.8795,2.09389,1,0.619324
Model 3,0.2,N = 2500,".60, .30, .10",0.7,0.272978,36.489,6.90752,1,0.279532
Model 3,0.2,N = 2500,".60, .30, .10",0.9,0.304219,52.1095,2.6172400000000002,1,0.101946
Model 3,0.2,N = 2500,".60, .30, .10",A,0.220899,10.4495,2.90568,1,0.889362
Model 3,0.2,N = 2500,".60, .30, .10",B,0.215776,7.888,7.765,1,0.917984
Model 3,0.2,N = 2500,".60, .30, .10",C,0.221455,10.7275,9.3477,1,0.881452
Model 3,0.2,N = 2500,".60, .30, .10",D,0.222896,11.448,12.52202,1,0.875822
Model 3,0.2,N = 500,".10, .30, .60",0.3,0.306763,53.3815,12.65257,0.520478,0.8370099999999999
Model 3,0.2,N = 500,".10, .30, .60",0.5,0.351245,75.6225,11.47433,0.630185,0.779942
Model 3,0.2,N = 500,".10, .30, .60",0.7,0.423185,111.5925,0.73381,0.779725,0.523346
Model 3,0.2,N = 500,".10, .30, .60",0.9,0.503705,151.8525,3.78188,0.9122560000000001,0.293392
Model 3,0.2,N = 500,".10, .30, .60",A,0.326225,63.1125,-0.60809,0.568877,0.782258
Model 3,0.2,N = 500,".10, .30, .60",B,0.287642,43.821,7.15897,0.452738,0.845762
Model 3,0.2,N = 500,".10, .30, .60",C,0.308801,54.4005,6.06616,0.461935,0.7899860000000001
Model 3,0.2,N = 500,".10, .30, .60",D,0.317434,58.717,10.17107,0.443806,0.785396
Model 3,0.2,N = 500,".33, .33, .33",0.3,0.251312,25.656,10.83716,0.793258,0.9059860000000001
Model 3,0.2,N = 500,".33, .33, .33",0.5,0.2857,42.85,8.18118,0.862774,0.82031
Model 3,0.2,N = 500,".33, .33, .33",0.7,0.334239,67.1195,4.11834,0.9146000000000001,0.626696
Model 3,0.2,N = 500,".33, .33, .33",0.9,0.377018,88.509,1.99139,0.948006,0.44091
Model 3,0.2,N = 500,".33, .33, .33",A,0.267888,33.944,17.90138,0.822452,0.879478
Model 3,0.2,N = 500,".33, .33, .33",B,0.24462,22.31,18.01891,0.777296,0.9309080000000001
Model 3,0.2,N = 500,".33, .33, .33",C,0.257917,28.9585,12.4116,0.769083,0.891582
Model 3,0.2,N = 500,".33, .33, .33",D,0.266716,33.358,-0.71493,0.730883,0.860074
Model 3,0.2,N = 500,".60, .30, .10",0.3,0.228449,14.2245,14.6926,0.963938,0.9286840000000001
Model 3,0.2,N = 500,".60, .30, .10",0.5,0.250899,25.4495,15.01243,0.9669019999999999,0.86679
Model 3,0.2,N = 500,".60, .30, .10",0.7,0.283184,41.592,17.02779,0.9702799999999999,0.7114579999999999
Model 3,0.2,N = 500,".60, .30, .10",0.9,0.311208,55.604,8.77603,0.974692,0.5155460000000001
Model 3,0.2,N = 500,".60, .30, .10",A,0.2313,15.65,14.25954,0.957002,0.935338
Model 3,0.2,N = 500,".60, .30, .10",B,0.22481700000000002,12.4085,12.44879,0.967406,0.919396
Model 3,0.2,N = 500,".60, .30, .10",C,0.232029,16.0145,13.16595,0.9609219999999999,0.912602
Model 3,0.2,N = 500,".60, .30, .10",D,0.23269900000000002,16.3495,14.10531,0.943527,0.913506
Model 3,0.2,N = 5000,".10, .30, .60",0.3,0.24631999999999998,23.16,-4.36578,0.9936,0.816576
Model 3,0.2,N = 5000,".10, .30, .60",0.5,0.306483,53.2415,-2.5672800000000002,1,0.483554
Model 3,0.2,N = 5000,".10, .30, .60",0.7,0.405613,102.8065,1.93925,0.998396,0.112278
Model 3,0.2,N = 5000,".10, .30, .60",0.9,0.519558,159.779,5.64591,1,0
Model 3,0.2,N = 5000,".10, .30, .60",A,0.280121,40.0605,-1.9911999999999999,1,0.632118
Model 3,0.2,N = 5000,".10, .30, .60",B,0.247333,23.6665,-1.8428,0.986824,0.8255979999999999
Model 3,0.2,N = 5000,".10, .30, .60",C,0.265635,32.8175,-1.74928,0.9893419999999999,0.762482
Model 3,0.2,N = 5000,".10, .30, .60",D,0.28296499999999997,41.4825,-1.16496,0.993508,0.68094
Model 3,0.2,N = 5000,".33, .33, .33",0.3,0.228503,14.2515,1.03464,1,0.834948
Model 3,0.2,N = 5000,".33, .33, .33",0.5,0.265482,32.741,-4.11462,1,0.454698
Model 3,0.2,N = 5000,".33, .33, .33",0.7,0.320108,60.054,-0.09328000000000004,1,0.095588
Model 3,0.2,N = 5000,".33, .33, .33",0.9,0.386206,93.103,0.7711600000000001,1,0.012482
Model 3,0.2,N = 5000,".33, .33, .33",A,0.243438,21.719,3.0784700000000003,1,0.65791
Model 3,0.2,N = 5000,".33, .33, .33",B,0.218894,9.447,4.05781,1,0.9144920000000001
Model 3,0.2,N = 5000,".33, .33, .33",C,0.225312,12.656,6.59052,1,0.870058
Model 3,0.2,N = 5000,".33, .33, .33",D,0.23039,15.195,5.84096,1,0.850888
Model 3,0.2,N = 5000,".60, .30, .10",0.3,0.217666,8.833,4.31276,1,0.858188
Model 3,0.2,N = 5000,".60, .30, .10",0.5,0.241858,20.929,5.97068,1,0.43502
Model 3,0.2,N = 5000,".60, .30, .10",0.7,0.270577,35.2885,9.16098,1,0.070508
Model 3,0.2,N = 5000,".60, .30, .10",0.9,0.304222,52.111,11.45368,1,0.001528
Model 3,0.2,N = 5000,".60, .30, .10",A,0.219897,9.9485,0.94228,1,0.819666
Model 3,0.2,N = 5000,".60, .30, .10",B,0.213455,6.7275,7.89787,1,0.8961480000000001
Model 3,0.2,N = 5000,".60, .30, .10",C,0.219216,9.608,5.4202699999999995,1,0.806152
Model 3,0.2,N = 5000,".60, .30, .10",D,0.220449,10.2245,9.67054,1,0.7954680000000001
Model 3,0.8,N = 1000,".10, .30, .60",0.3,0.791544,-1.05931,10.31931,0.9984,0.93857
Model 3,0.8,N = 1000,".10, .30, .60",0.5,0.785614,-1.80086,9.15575,0.998408,0.939916
Model 3,0.8,N = 1000,".10, .30, .60",0.7,0.7854530000000001,-1.82091,4.00611,1,0.938222
Model 3,0.8,N = 1000,".10, .30, .60",0.9,0.7869430000000001,-1.63461,8.89106,1,0.949426
Model 3,0.8,N = 1000,".10, .30, .60",A,0.773718,-3.2877,3.9483800000000002,1,0.9231320000000001
Model 3,0.8,N = 1000,".10, .30, .60",B,0.803559,0.44643,13.53628,1,0.92678
Model 3,0.8,N = 1000,".10, .30, .60",C,0.8165479999999999,2.06683,17.08763,1,0.932862
Model 3,0.8,N = 1000,".10, .30, .60",D,0.824117,3.0121700000000002,8.37033,1,0.91615
Model 3,0.8,N = 1000,".33, .33, .33",0.3,0.8069630000000001,0.87288,0.8519599999999999,1,0.9436399999999999
Model 3,0.8,N = 1000,".33, .33, .33",0.5,0.808181,1.025,2.27907,1,0.949324
Model 3,0.8,N = 1000,".33, .33, .33",0.7,0.812614,1.57601,-1.57786,1,0.92791
Model 3,0.8,N = 1000,".33, .33, .33",0.9,0.811903,1.48788,4.17554,1,0.9281900000000001
Model 3,0.8,N = 1000,".33, .33, .33",A,0.802821,0.3549,5.36356,1,0.946382
Model 3,0.8,N = 1000,".33, .33, .33",B,0.817978,2.24478,4.87249,1,0.9203760000000001
Model 3,0.8,N = 1000,".33, .33, .33",C,0.833944,4.24053,7.98072,1,0.898796
Model 3,0.8,N = 1000,".33, .33, .33",D,0.846776,5.84444,13.54865,1,0.846604
Model 3,0.8,N = 1000,".60, .30, .10",0.3,0.805281,0.66268,2.96375,1,0.941994
Model 3,0.8,N = 1000,".60, .30, .10",0.5,0.8104830000000001,1.31245,4.72922,1,0.9503199999999999
Model 3,0.8,N = 1000,".60, .30, .10",0.7,0.813072,1.63219,4.41521,1,0.918122
Model 3,0.8,N = 1000,".60, .30, .10",0.9,0.81585,1.97876,1.4883600000000001,1,0.90483
Model 3,0.8,N = 1000,".60, .30, .10",A,0.81154,1.44335,2.80349,1,0.930096
Model 3,0.8,N = 1000,".60, .30, .10",B,0.815604,1.9478900000000001,6.28593,1,0.9151440000000001
Model 3,0.8,N = 1000,".60, .30, .10",C,0.827635,3.45193,5.60501,1,0.8601719999999999
Model 3,0.8,N = 1000,".60, .30, .10",D,0.840658,5.07992,6.1676,1,0.8084
Model 3,0.8,N = 2500,".10, .30, .60",0.3,0.795651,-0.54591,3.99355,1,0.937974
Model 3,0.8,N = 2500,".10, .30, .60",0.5,0.787367,-1.5816299999999999,4.82894,1,0.934804
Model 3,0.8,N = 2500,".10, .30, .60",0.7,0.787684,-1.54213,5.19958,1,0.951734
Model 3,0.8,N = 2500,".10, .30, .60",0.9,0.7828160000000001,-2.1506499999999997,3.65145,1,0.9280240000000001
Model 3,0.8,N = 2500,".10, .30, .60",A,0.775848,-3.02153,4.15144,1,0.908316
Model 3,0.8,N = 2500,".10, .30, .60",B,0.815696,1.95992,7.22414,1,0.91954
Model 3,0.8,N = 2500,".10, .30, .60",C,0.829947,3.7409,5.65683,1,0.8925460000000001
Model 3,0.8,N = 2500,".10, .30, .60",D,0.8426669999999999,5.33084,9.13954,1,0.881604
Model 3,0.8,N = 2500,".33, .33, .33",0.3,0.804555,0.57192,0.9246200000000001,1,0.94162
Model 3,0.8,N = 2500,".33, .33, .33",0.5,0.808324,1.04302,1.51148,1,0.939432
Model 3,0.8,N = 2500,".33, .33, .33",0.7,0.8109510000000001,1.37066,-2.47542,1,0.922124
Model 3,0.8,N = 2500,".33, .33, .33",0.9,0.811293,1.4132799999999999,2.78049,1,0.9180940000000001
Model 3,0.8,N = 2500,".33, .33, .33",A,0.8017690000000001,0.22328,1.3759,1,0.959944
Model 3,0.8,N = 2500,".33, .33, .33",B,0.8176819999999999,2.20786,-0.3432,1,0.903752
Model 3,0.8,N = 2500,".33, .33, .33",C,0.833282,4.15782,3.02167,1,0.783516
Model 3,0.8,N = 2500,".33, .33, .33",D,0.849972,6.2438400000000005,6.30988,1,0.674658
Model 3,0.8,N = 2500,".60, .30, .10",0.3,0.804791,0.60145,0.39712000000000003,1,0.9490679999999999
Model 3,0.8,N = 2500,".60, .30, .10",0.5,0.8102330000000001,1.28159,4.18849,1,0.9067500000000001
Model 3,0.8,N = 2500,".60, .30, .10",0.7,0.8144539999999999,1.80427,-1.96879,1,0.8499099999999999
Model 3,0.8,N = 2500,".60, .30, .10",0.9,0.815461,1.92999,-1.17204,1,0.80881
