"FileName","Model","Population","N","Mixing_proportion","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","mean_a1","mean_a2","mean_b11","mean_b12","mean_b21","mean_b22","mean_SE_a1","mean_SE_a2","mean_SE_b11","mean_SE_b12","mean_SE_b21","mean_SE_b22","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"lta_lta_m3_n_500_tp_0.407_m_3","Model 3",0.2,"N = 500",".60, .30, .10",545,0.211,0.057,0.051,0.003,0.949,0.938,545,-7.548,-1.732,6.879,1.699,7.664,2.492,0.649,1.376,0.706,1.388,0.913,1.566,5.5,11.76,5.473,11.23745,1,1
"lta_lta_m3_n_500_tp_3.179_m_1","Model 3",0.8,"N = 500",".10, .30, .60",575,0.756,0.147,0.113,0.015,0.939,0.979,575,-1.008,-1.264,6.019,-81.148,1.095,1.871,0.252,0.378,3.671,6.522,0.553,0.566,-5.5,30.09,-5.44916,30.32297,1,1
"lta_lta_m3_n_500_tp_3.179_m_2","Model 3",0.8,"N = 500",".33, .33, .33",617,0.805,0.064,0.057,0.003,0.953,1,617,-1.091,-1.175,3.223,-0.793,1.042,1.858,0.292,0.371,0.598,1.647,0.562,0.52,0.63,12.28,0.63498,12.38592,1,1
"lta_lta_m3_n_500_tp_3.179_m_3","Model 3",0.8,"N = 500",".60, .30, .10",561,0.806,0.045,0.038,0.002,0.964,0.998,561,-2.071,-1.774,4.175,1.529,1.97,2.464,0.723,0.802,0.794,1.378,1.069,0.905,0.75,18.42,0.6966,16.46033,1,1
"lta_lta_m3_n_5000_tp_0.407_m_1","Model 3",0.2,"N = 5000",".10, .30, .60",519,0.213,0.049,0.049,0.003,0.94,0.987,519,-1.061,-1.151,0.417,1.137,1.121,1.826,0.094,0.113,0.261,0.221,0.149,0.15,6.5,0,6.3235,0.57714,1,1
"lta_lta_m3_n_5000_tp_0.407_m_2","Model 3",0.2,"N = 5000",".33, .33, .33",536,0.207,0.026,0.024,0.001,0.959,1,536,-1.085,-1.124,0.422,1.113,1.123,1.815,0.099,0.115,0.137,0.132,0.16,0.161,3.5,8.33,3.3465,10.31099,1,1
"lta_lta_m3_n_5000_tp_0.407_m_3","Model 3",0.2,"N = 5000",".60, .30, .10",535,0.201,0.017,0.016,0,0.955,1,535,-1.105,-1.112,0.414,1.111,1.115,1.81,0.158,0.188,0.173,0.192,0.216,0.229,0.5,6.25,0.466,3.71011,1,1
"lta_lta_m3_n_5000_tp_3.179_m_1","Model 3",0.8,"N = 5000",".10, .30, .60",588,0.808,0.052,0.052,0.003,0.939,1,588,-1.087,-1.118,3.224,-283.385,1.091,1.798,0.079,0.088,0.422,1.236,0.142,0.134,1,0,0.96967,0.99812,1,1
"lta_lta_m3_n_5000_tp_3.179_m_2","Model 3",0.8,"N = 5000",".33, .33, .33",598,0.802,0.021,0.02,0,0.952,1,598,-1.101,-1.103,3.188,1.064,1.097,1.792,0.088,0.1,0.16,0.278,0.151,0.141,0.25,5,0.23886,2.7443,1,1
"lta_lta_m3_n_5000_tp_3.179_m_3","Model 3",0.8,"N = 5000",".60, .30, .10",603,0.801,0.013,0.014,0,0.94,1,603,-1.106,-1.114,3.188,1.092,1.105,1.809,0.159,0.188,0.18,0.242,0.216,0.221,0.13,-7.14,0.13114,-7.17635,1,1
