"FileName","Population","Lambda","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.4",0.8,0.4,"N = 1000","Stayer",585,0.812,0.029,0.029,0.001,0.925,1,585,1.5,0,1.49696,1.59589,1,1
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.6",0.8,0.6,"N = 1000","Stayer",587,0.829,0.028,0.028,0.002,0.809,1,587,3.62,0,3.61798,1.58464,1,0
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0.8",0.8,0.8,"N = 1000","Stayer",554,0.849,0.027,0.027,0.003,0.531,1,554,6.12,0,6.16034,1.11533,1,0
"rilta_lta_n_1000_tp_1.385_th_1_lambda_0",0.8,0,"N = 1000","Stayer",571,0.8,0.03,0.03,0.001,0.946,1,571,0,0,-0.00602,0.17127,1,1
"rilta_lta_n_1000_tp_1.385_th_1_lambda_1",0.8,1,"N = 1000","Stayer",555,0.873,0.024,0.024,0.006,0.159,1,555,9.12,0,9.16218,2.09877,1,0
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.2",0.4,0.2,"N = 2000","Mover",550,0.413,0.026,0.026,0.001,0.916,1,550,3.25,0,3.19225,1.58752,1,1
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.4",0.4,0.4,"N = 2000","Mover",560,0.449,0.026,0.026,0.003,0.52,1,560,12.25,0,12.359,1.61151,1,0
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.6",0.4,0.6,"N = 2000","Mover",542,0.51,0.025,0.024,0.013,0.004,1,542,27.5,4.17,27.40925,3.72065,1,0
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0.8",0.4,0.8,"N = 2000","Mover",562,0.579,0.024,0.023,0.033,0,1,562,44.75,4.35,44.82275,2.48845,1,0
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_0",0.4,0,"N = 2000","Mover",593,0.4,0.026,0.026,0.001,0.951,1,593,0,0,-0.006,1.13615,1,1
"rilta_lta_n_2000_tp_-0.41_th_1_lambda_1",0.4,1,"N = 2000","Mover",540,0.643,0.022,0.022,0.06,0,1,540,60.75,0,60.82225,1.24592,1,0
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.2",0.3,0.2,"N = 2000","Mover",554,0.315,0.026,0.024,0.001,0.906,1,554,5,8.33,4.9451,6.31539,1,0
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.4",0.3,0.4,"N = 2000","Mover",526,0.359,0.026,0.025,0.004,0.361,1,526,19.67,4,19.69813,2.62753,1,0
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.6",0.3,0.6,"N = 2000","Mover",564,0.43,0.026,0.023,0.017,0.002,1,564,43.33,13.04,43.17333,10.56275,1,0
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0.8",0.3,0.8,"N = 2000","Mover",617,0.511,0.025,0.023,0.045,0,1,617,70.33,8.7,70.44234,7.3012,1,0
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_0",0.3,0,"N = 2000","Mover",574,0.299,0.025,0.024,0.001,0.962,1,574,-0.33,4.17,-0.20558,5.57654,1,1
"rilta_lta_n_2000_tp_-0.85_th_1_lambda_1",0.3,1,"N = 2000","Mover",511,0.587,0.023,0.022,0.083,0,1,511,95.67,4.55,95.78437,6.81997,1,0
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.2",0.2,0.2,"N = 2000","Mover",565,0.218,0.024,0.023,0.001,0.899,1,565,9,4.35,8.885,5.5406,1,0
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.4",0.2,0.4,"N = 2000","Mover",612,0.266,0.025,0.024,0.005,0.258,1,612,33,4.17,33.02,2.66682,1,0
"rilta_lta_n_2000_tp_-1.385_th_1_lambda_0.6",0.2,0.6,"N = 2000","Mover",569,0.348,0.026,0.024,0.022,0,1,569,74,8.33,73.972,9.95643,1,0
