"FileName","Population","N","Transitions","group_size","average","average_SE","population_sd","MSE","Coverage","Power","Reps_Used","Parameter_Bias_boot","SE_Bias_boot","Parameter_Bias","SE_Bias","Power_Dic","Coverage_Dic"
"lta_rilta_n_1000_tp_-0.41_th_1",0.4,"N = 1000","Mover",707,0.393,0.039,0.036,0.001,0.962,1,707,-1.75,8.33,-1.61675,8.34608,1,1
"lta_rilta_n_1000_tp_-0.85_th_1",0.3,"N = 1000","Mover",712,0.295,0.038,0.035,0.001,0.962,1,712,-1.67,8.57,-1.56634,9.00281,1,1
"lta_rilta_n_1000_tp_-1.385_th_1",0.2,"N = 1000","Mover",680,0.195,0.038,0.034,0.001,0.949,0.996,680,-2.5,11.76,-2.5225,12.17704,1,1
"lta_rilta_n_1000_tp_0.41_th_1",0.6,"N = 1000","Stayer",738,0.598,0.037,0.036,0.001,0.958,1,738,-0.33,2.78,-0.24569,3.1274,1,1
"lta_rilta_n_1000_tp_0.85_th_1",0.7,"N = 1000","Stayer",699,0.699,0.034,0.034,0.001,0.948,1,699,-0.14,0,-0.19659,1.07297,1,1
"lta_rilta_n_1000_tp_1.385_th_1",0.8,"N = 1000","Stayer",666,0.799,0.031,0.03,0.001,0.959,1,666,-0.13,3.33,-0.17845,3.4445,1,1
"lta_rilta_n_2000_tp_-0.41_th_1",0.4,"N = 2000","Mover",688,0.397,0.028,0.026,0.001,0.961,1,688,-0.75,7.69,-0.8775,8.40717,1,1
"lta_rilta_n_2000_tp_-0.85_th_1",0.3,"N = 2000","Mover",662,0.295,0.027,0.024,0.001,0.962,1,662,-1.67,12.5,-1.51142,12.70621,1,1
"lta_rilta_n_2000_tp_-1.385_th_1",0.2,"N = 2000","Mover",631,0.197,0.025,0.022,0,0.97,1,631,-1.5,13.64,-1.3915,15.07998,1,1
"lta_rilta_n_2000_tp_0.41_th_1",0.6,"N = 2000","Stayer",650,0.599,0.026,0.025,0.001,0.952,1,650,-0.17,4,-0.25169,2.90161,1,1
"lta_rilta_n_2000_tp_0.85_th_1",0.7,"N = 2000","Stayer",669,0.699,0.024,0.023,0.001,0.96,1,669,-0.14,4.35,-0.13783,3.25727,1,1
"lta_rilta_n_2000_tp_1.385_th_1",0.8,"N = 2000","Stayer",684,0.799,0.021,0.021,0,0.952,1,684,-0.13,0,-0.13218,1.80805,1,1
"lta_rilta_n_4000_tp_-0.41_th_1",0.4,"N = 4000","Mover",327,0.397,0.019,0.018,0,0.96,1,327,-0.75,5.56,-0.76225,8.23928,1,1
"lta_rilta_n_4000_tp_-0.85_th_1",0.3,"N = 4000","Mover",689,0.298,0.019,0.018,0,0.956,1,689,-0.67,5.56,-0.71201,5.90262,1,1
"lta_rilta_n_4000_tp_-1.385_th_1",0.2,"N = 4000","Mover",670,0.199,0.018,0.017,0,0.966,1,670,-0.5,5.88,-0.6835,8.65141,1,1
"lta_rilta_n_4000_tp_0.41_th_1",0.6,"N = 4000","Stayer",350,0.6,0.018,0.018,0,0.951,1,350,0,0,-0.07053,2.58926,1,1
"lta_rilta_n_4000_tp_0.85_th_1",0.7,"N = 4000","Stayer",616,0.7,0.017,0.017,0,0.948,1,616,0,0,-0.02559,0.29252,1,1
"lta_rilta_n_4000_tp_1.385_th_1",0.8,"N = 4000","Stayer",624,0.8,0.015,0.015,0,0.95,1,624,0,0,-0.01399,0.62244,1,1
"lta_rilta_n_500_tp_-0.41_th_1",0.4,"N = 500","Mover",659,0.39,0.057,0.053,0.003,0.958,0.998,659,-2.5,7.55,-2.47625,7.31042,1,1
"lta_rilta_n_500_tp_-0.85_th_1",0.3,"N = 500","Mover",642,0.292,0.056,0.051,0.003,0.97,0.988,642,-2.67,9.8,-2.81212,11.48884,1,1
"lta_rilta_n_500_tp_-1.385_th_1",0.2,"N = 500","Mover",680,0.196,0.052,0.048,0.002,0.956,0.959,680,-2,8.33,-2.1845,8.30496,1,1
"lta_rilta_n_500_tp_0.41_th_1",0.6,"N = 500","Stayer",710,0.597,0.054,0.052,0.003,0.958,1,710,-0.5,3.85,-0.5301,3.659,1,1
"lta_rilta_n_500_tp_0.85_th_1",0.7,"N = 500","Stayer",711,0.697,0.05,0.049,0.002,0.949,1,711,-0.43,2.04,-0.47983,2.6538,1,1
"lta_rilta_n_500_tp_1.385_th_1",0.8,"N = 500","Stayer",656,0.796,0.044,0.045,0.002,0.95,1,656,-0.5,-2.22,-0.52202,-1.30043,1,1
